"Node","Type","In_Degree","Out_Degree","Total_Degree","Betweenness","Closeness","PageRank","In_Cycle","SCC_ID","SCC_Size"
"Cardiac_Hypertrophy","regular",5,1,6,2.16666666666667,0.000444642063139173,0.00191640774568445,TRUE,700,61
"cardiac_arrhythmia","regular",6,1,7,2.11111111111111,0.000459558823529412,0.00244105734150248,FALSE,736,1
"Stress","regular",4,2,6,1.83333333333333,0.000383877159309021,0.00072298739281715,FALSE,440,1
"Ischemic_stroke","regular",3,2,5,1.33333333333333,0.000457456541628545,0.00213094791602352,FALSE,778,1
"Diabetic_Nephropathy","regular",2,4,6,1.25,0.000443066016836509,0.00145508245246161,TRUE,700,61
"Cerebral_hemisphere_hemorrhage","regular",2,1,3,1,0.000454338936846888,0.00180524502442614,FALSE,770,1
"Congestive_heart_failure","regular",2,2,4,1,0.000454959053685168,0.00160808452208367,FALSE,767,1
"Conn_Syndrome","regular",1,2,3,1,0.000442086648983201,0.00067089971771316,FALSE,535,1
"Cardiomyopathy_Dilated","regular",1,2,3,0.75,0.000366434591425431,0.000477706574560429,FALSE,566,1
"Death_Sudden","regular",2,1,3,0.5,0.000413223140495868,0.00238191989802669,FALSE,748,1
"Death_Sudden_Cardiac","regular",1,1,2,0.5,0.000378357926598562,0.00107088938722627,FALSE,747,1
"Kidney_Failure","regular",4,2,6,0.5,0.000474833808167142,0.00336534910759757,TRUE,700,61
"Amyotrophic_Lateral_Sclerosis","regular",2,1,3,0.424242424242424,0.000386398763523957,0.000577753023693093,FALSE,633,1
"Arteriosclerosis","regular",2,2,4,0.416666666666667,0.000455580865603645,0.00143584275070533,TRUE,700,61
"Myocardial_Ischemia","regular",2,2,4,0.35,0.000456829602558246,0.00153379774416775,TRUE,700,61
"Arthritis","regular",1,1,2,0.333333333333333,0.000354735721887194,0.000520830044014163,FALSE,608,1
"Polycystic_Kidney_Autosomal_Dominant","regular",1,1,2,0.333333333333333,0.000357398141529664,0.000477706574560429,FALSE,254,1
"Influenza","regular",1,2,3,0.276923076923077,0.000375657400450789,0.000490816109274364,FALSE,337,1
"Congenital_Abnormality","regular",3,3,6,0.25,0.000470588235294118,0.000533606538600369,FALSE,538,1
"Rheumatoid_Arthritis","regular",1,1,2,0.25,0.000352733686067019,0.000515271907951238,FALSE,128,1
"Virus_Diseases","regular",1,4,5,0.243589743589744,0.000420875420875421,0.000490816109274364,FALSE,50,1
"Shock","regular",2,1,3,0.182539682539683,0.000388651379712398,0.000495722601798878,FALSE,302,1
"Liver_diseases","regular",2,1,3,0.166666666666667,0.000416146483562214,0.00179612968012434,FALSE,715,1
"Adverse_event","regular",1,1,2,0.111111111111111,0.000383729854182655,0.000482933661766942,FALSE,649,1
"Respiratory_Distress_Syndrome_Adult","regular",2,1,3,0.111111111111111,0.000386100386100386,0.000580564126301864,FALSE,692,1
"Seizures","regular",1,1,2,0.111111111111111,0.000383729854182655,0.000482933661766942,FALSE,182,1
"Septic_Shock","regular",1,1,2,0.111111111111111,0.000383435582822086,0.000481923091573683,FALSE,303,1
"Epilepsy","regular",1,1,2,0.0909090909090909,0.000385802469135802,0.000477706574560429,FALSE,455,1
"Acquired_Immunodeficiency_Syndrome","regular",1,1,2,0.0769230769230769,0.000374812593703148,0.000490816109274364,FALSE,666,1
"Communicable_Diseases","regular",1,1,2,0.0769230769230769,0.000374812593703148,0.000490816109274364,FALSE,541,1
"Respiration_Disorders","regular",1,1,2,0.0769230769230769,0.000374812593703148,0.000490816109274364,FALSE,135,1
"Respiratory_Tract_Infections","regular",1,1,2,0.0769230769230769,0.000374812593703148,0.000490816109274364,FALSE,132,1
"Necrosis","regular",2,1,3,0.0714285714285714,0.000379650721336371,0.000828161746858792,FALSE,739,1
"1_4_dioxin","regular",0,1,1,0,0.00035498757543486,0.000470806819447831,FALSE,698,1
"1_Methyl_4_phenyl_1_2_3_6_tetrahydropyridine","regular",0,2,2,0,0.000319693094629156,0.000470806819447831,FALSE,696,1
"2019_novel_coronavirus","regular",0,3,3,0,0.00040766408479413,0.000470806819447831,FALSE,688,1
"20_hydroxy_5_8_11_14_eicosatetraenoic_acid","regular",0,1,1,0,0.000441501103752759,0.000470806819447831,FALSE,687,1
"9_10_Dimethyl_1_2_benzanthracene","regular",0,1,1,0,0.000336927223719677,0.000470806819447831,FALSE,683,1
"APP_gene","regular",0,6,6,0,0.00042247570764681,0.000470806819447831,FALSE,679,1
"APP_protein_human","regular",0,1,1,0,0.000393081761006289,0.000470806819447831,FALSE,678,1
"ATM_gene_ATM","regular",0,1,1,0,0.000441501103752759,0.000470806819447831,FALSE,677,1
"ATPase_Aminophospholipid_Transporter_Like_Class_I_Type_8A_Member_2_ATP8A2","regular",0,1,1,0,0.000327653997378768,0.000470806819447831,FALSE,676,1
"Abdominal_compartment_syndrome","regular",1,0,1,0,0.000441501103752759,0.00140505922789549,FALSE,781,1
"Abnormal_renal_function","regular",1,1,2,0,0.000441501103752759,0.00140505922789528,TRUE,700,61
"Acetaminophen","regular",0,2,2,0,0.000370096225018505,0.000470806819447831,FALSE,672,1
"Acetate","regular",0,1,1,0,0.000441501103752759,0.000470806819447831,FALSE,671,1
"Acetylcholine","regular",0,2,2,0,0.000328083989501312,0.000470806819447831,FALSE,670,1
"Acetylcholinesterase","regular",0,1,1,0,0.000393081761006289,0.000470806819447831,FALSE,669,1
"Acids","regular",0,1,1,0,0.000365497076023392,0.000470806819447831,FALSE,668,1
"Aconitine","regular",0,1,1,0,0.000330906684315023,0.000470806819447831,FALSE,667,1
"Acute_Erythroblastic_Leukemia","regular",1,0,1,0,0.000315756236185665,0.000490816109274364,FALSE,665,1
"Acute_Lung_Injury","regular",1,0,1,0,0.000348068221371389,0.000481923091573683,FALSE,664,1
"Acute_inflammation","regular",1,0,1,0,0.000348068221371389,0.000481923091573683,FALSE,663,1
"Acute_myocardial_infarction","regular",1,1,2,0,0.000374251497005988,0.000599545335720375,FALSE,714,1
"Adhesions","regular",1,0,1,0,0.000337381916329285,0.000499391519200021,FALSE,662,1
"Administration_Oral","regular",0,1,1,0,0.000441501103752759,0.000470806819447831,FALSE,661,1
"Adrenal_Cortex_Hormones","regular",0,3,3,0,0.000443262411347518,0.000470806819447831,FALSE,659,1
"Adrenal_Cortical_Adenoma","regular",0,1,1,0,0.000321853878339234,0.000470806819447831,FALSE,657,1
"Adrenal_Gland_Neoplasms","regular",0,1,1,0,0.000441501103752759,0.000470806819447831,FALSE,656,1
"Adrenal_adenoma","regular",0,1,1,0,0.000321853878339234,0.000470806819447831,FALSE,655,1
"Adrenergic_Receptor","regular",0,1,1,0,0.000441501103752759,0.000470806819447831,FALSE,654,1
"Adrenoleukodystrophy","regular",1,0,1,0,0.000356379187455453,0.000477706574560429,FALSE,653,1
"Adriamycin","regular",0,2,2,0,0.000336247478143914,0.000470806819447831,FALSE,652,1
"Advance","regular",0,1,1,0,0.000398883127243718,0.000470806819447831,FALSE,651,1
"Adverse_drug_effect","regular",1,0,1,0,0.000356379187455453,0.000482933661766942,FALSE,650,1
"Adverse_reactions","regular",1,0,1,0,0.000356379187455453,0.000482933661766942,FALSE,648,1
"Agent","regular",0,11,11,0,0.000503524672708963,0.000470806819447831,FALSE,646,1
"Aging","regular",2,0,2,0,0.0003933910306845,0.00269303756969433,FALSE,788,1
