cycle_length,count
2,1
7,1
8,2
9,7
10,28
11,94
12,299
13,776
14,1881
15,4159
16,8550
17,15878
18,27140
19,42377
20,61366
21,82393
22,101755
23,116040
24,121253
25,116387
26,101197
27,79024
28,54368
29,33016
30,17845
31,8667
32,3680
33,1356
34,388
35,72
