"from","to","confounder"
"Inflammation","Hypertension","Obesity"
"Inflammation","Alzheimers","Obesity"
"Inflammation","Obesity","Obesity"
"Hypertension","Inflammation","Obesity"
"Hypertension","Alzheimers","Obesity"
"Hypertension","Obesity","Obesity"
"Alzheimers","Inflammation","Obesity"
"Obesity","Inflammation","Obesity"
"Obesity","Hypertension","Obesity"
"Obesity","Alzheimers","Obesity"
