"from","to","confounder"
"Degenerative_abnormality","Hypertension","Degenerative_abnormality"
"Degenerative_abnormality","Alzheimers","Degenerative_abnormality"
"Hypertension","Diabetes","Degenerative_abnormality"
"Hypertension","Alzheimers","Degenerative_abnormality"
"Diabetes","Degenerative_abnormality","Degenerative_abnormality"
"Diabetes","Hypertension","Degenerative_abnormality"
"Diabetes","Alzheimers","Degenerative_abnormality"
"Alzheimers","Degenerative_abnormality","Degenerative_abnormality"
