confounder,n_confounder_parents,confounder_parents,is_butterfly
Inflammatory_Response,2,"Injury, Lipopolysaccharides",True
Injury,5,"Agent, Antioxidants, Diet, Lipopolysaccharides, Study_models",True
Oxidative_Stress,4,"Antioxidants, Diet, Lipopolysaccharides, Supplementation",True
Toxic_effect,3,"Agent, Antioxidants, Lipopolysaccharides",True
