"from","to","confounder"
"Inflammation","Hypertension","Ischemia"
"Inflammation","Alzheimers","Ischemia"
"Inflammation","Ischemia","Ischemia"
"Hypertension","Inflammation","Ischemia"
"Hypertension","Alzheimers","Ischemia"
"Hypertension","Ischemia","Ischemia"
"Alzheimers","Inflammation","Ischemia"
"Ischemia","Inflammation","Ischemia"
"Ischemia","Hypertension","Ischemia"
"Ischemia","Alzheimers","Ischemia"
