"from","to","confounder"
"Inflammation","Hypertension","Diabetes"
"Inflammation","Diabetes","Diabetes"
"Inflammation","Alzheimers","Diabetes"
"Hypertension","Inflammation","Diabetes"
"Hypertension","Diabetes","Diabetes"
"Hypertension","Alzheimers","Diabetes"
"Diabetes","Inflammation","Diabetes"
"Diabetes","Hypertension","Diabetes"
"Diabetes","Alzheimers","Diabetes"
"Alzheimers","Inflammation","Diabetes"
