node,original_cycles,remaining_cycles,cycles_removed,percent_reduction,remaining_sccs,largest_scc_after
Disease,1000000,1000000,0,0.0,6,87
Functional_disorder,1000000,1000000,0,0.0,5,96
Complication,1000000,1000000,0,0.0,5,95
Syndrome,1000000,1000000,0,0.0,5,97
Symptoms,1000000,1000000,0,0.0,5,97
Diagnosis,1000000,1000000,0,0.0,5,97
Obstruction,1000000,1000000,0,0.0,5,95
Physical_findings,1000000,1000000,0,0.0,5,97
Adverse_effects,1000000,1000000,0,0.0,5,97
