"from","to","confounder"
"Hypertension","Alzheimers","Polymorphism_Genetic"
"Polymorphism_Genetic","Hypertension","Polymorphism_Genetic"
"Polymorphism_Genetic","Alzheimers","Polymorphism_Genetic"
