key,value
exposure,Hypertension
outcome,Alzheimers
input_file,/home/mpradhan/Research_Project/CausalKnowledgeTrace/graph_creation/result/Hypertension_to_Alzheimers_degree2.json
input_format,cytoscape_json
n_nodes,727
n_edges,1215
