"from","to","confounder"
"Inflammation","Hypertension","Vascular_Diseases"
"Inflammation","Alzheimers","Vascular_Diseases"
"Inflammation","Vascular_Diseases","Vascular_Diseases"
"Hypertension","Inflammation","Vascular_Diseases"
"Hypertension","Alzheimers","Vascular_Diseases"
"Hypertension","Vascular_Diseases","Vascular_Diseases"
"Alzheimers","Inflammation","Vascular_Diseases"
"Vascular_Diseases","Hypertension","Vascular_Diseases"
"Vascular_Diseases","Alzheimers","Vascular_Diseases"
