node,scc_id,scc_size
Discomfort,114,1
Fatal_Outcome,115,1
Fatigue,116,1
Liver_Failure,117,1
Low_Back_Pain,118,1
Osteoporosis,119,1
Thrombocytopenia,120,1
Vision,121,1
hearing_impairment,122,1
Lewy_Body_Disease,123,1
Memory_Loss,124,1
Senile_Plaques,125,1
Senile_dementia,126,1
Toxic_effect,128,1
1_4_dioxin,129,1
Mouse_Model,130,1
Nerve_Degeneration,131,1
1_Methyl_4_phenyl_1_2_3_6_tetrahydropyridine,132,1
1_Methyl_4_phenylpyridinium,134,1
Cholestasis,135,1
Deformity,136,1
Fibrosis_Liver,137,1
Hyperplasia,138,1
Hypersensitivity,139,1
Liver_Failure_Acute,140,1
Neuropathic_pain,141,1
Pseudoaneurysm,142,1
Thrombus,143,1
Injury,144,1
1_Naphthylisothiocyanate,145,1
Communicable_Diseases,146,1
Immunity,147,1
Respiration_Disorders,148,1
Virus_Diseases,149,1
2019_novel_coronavirus,150,1
20_hydroxy_5_8_11_14_eicosatetraenoic_acid,151,1
Choroidal_Neovascularization,152,1
Age_related_macular_degeneration,153,1
Infertility_Male,154,1
Oxidative_Stress,155,1
2_2_azobis_2_amidinopropane,156,1
Hypercalcemia,157,1
Intestinal_Obstruction,158,1
Intussusception,159,1
Pathological_fracture,160,1
Tumor_induced_osteomalacia,161,1
3MC,163,1
Carcinogenesis,164,1
4_Nitroquinoline_1_oxide,165,1
Breast_Carcinoma,166,1
Malignant_neoplasm_of_breast,167,1
Mammary_Neoplasms,168,1
9_10_Dimethyl_1_2_benzanthracene,169,1
Cushing_Syndrome,170,1
ACTH_Syndrome_Ectopic,171,1
ADAMTS13,172,1
Adverse_event,173,1
AES,174,1
Impaired_cognition,175,1
Memory_impairment,176,1
cytotoxicity,177,1
APP_gene,178,1
APP_protein_human,179,1
ASPERGILLOSIS_INVASIVE,180,1
ATM_gene_ATM,181,1
Dissociation,182,1
ATPase_Aminophospholipid_Transporter_Like_Class_I_Type_8A_Member_2_ATP8A2,183,1
Abnormal_coordination,184,1
Absence_of_pain_sensation,185,1
Accumulation,186,1
Hepatic_necrosis,187,1
Hepatotoxicity,188,1
Injury_to_liver_NOS,189,1
Liver_damage,190,1
Acetaminophen,191,1
Acetaminophen_overdose,192,1
Acetate,193,1
Colitis,194,1
Gastric_ulcer,195,1
Ulcer,196,1
Acetic_Acid,197,1
Vasodilation,198,1
Acetylcholine,199,1
Acetylcholinesterase,200,1
Acids,201,1
Infections_Hospital,202,1
Acinetobacter_baumannii,203,1
Aconitine,204,1
Acquired_Immunodeficiency_Syndrome,205,1
Acute_Erythroblastic_Leukemia,206,1
Acute_Ischemic_Stroke,207,1
Acute_Lung_Injury,208,1
Acute_Phase_Reaction,209,1
Acute_colitis,210,1
Acute_diarrhea,211,1
Acute_gastroenteritis,212,1
Acute_heart_failure,213,1
Acute_infectious_disease,214,1
Acute_inflammation,215,1
Acute_interstitial_nephritis,216,1
Acute_lower_respiratory_tract_infection,217,1
Acute_otitis_media,218,1
Acute_respiratory_infection_NOS,219,1
Addictive_Behavior,220,1
