node,node_type,in_degree,out_degree,total_degree,betweenness,pagerank,in_cycle,scc_id,scc_size
Hypertension,exposure,231,98,329,0.034246,0.042811,True,127,98
Disease,regular,282,87,369,0.033874,0.042056,True,127,98
Alzheimers,outcome,118,23,141,0.006945,0.018761,True,127,98
Inflammation,regular,108,24,132,0.005990,0.009508,True,127,98
Obstruction,regular,20,25,45,0.004296,0.001836,True,127,98
Injury,regular,77,36,113,0.003341,0.004541,False,144,1
Ischemia,regular,20,25,45,0.003165,0.002127,True,127,98
Contraction,regular,64,2,66,0.003018,0.006619,True,127,98
COVID_19,regular,7,30,37,0.002857,0.001126,True,127,98
Toxic_effect,regular,80,7,87,0.002446,0.005614,False,128,1
Obesity,regular,19,24,43,0.002357,0.002742,True,127,98
Heart_failure,regular,40,5,45,0.002239,0.009330,True,127,98
Functional_disorder,regular,44,16,60,0.002053,0.005046,True,127,98
Cerebrovascular_accident,regular,25,12,37,0.001925,0.004091,True,127,98
Complication,regular,60,7,67,0.001899,0.008569,True,127,98
Fibrosis,regular,43,5,48,0.001726,0.005410,True,127,98
Neoplasm,regular,35,11,46,0.001718,0.003575,True,162,4
Oxidative_Stress,regular,67,12,79,0.001638,0.003780,False,155,1
Infection,regular,59,19,78,0.001537,0.005983,True,127,98
Symptoms,regular,24,10,34,0.001411,0.005305,True,127,98
Thrombosis,regular,9,8,17,0.001181,0.001490,True,127,98
Insulin_Resistance,regular,22,13,35,0.001129,0.002294,True,127,98
Adverse_effects,regular,40,4,44,0.001006,0.003716,True,127,98
Septicemia,regular,22,15,37,0.000985,0.002436,True,127,98
Atherosclerosis,regular,16,12,28,0.000947,0.003138,True,127,98
Diabetes,regular,22,20,42,0.000827,0.002456,True,127,98
Myocardial_Infarction,regular,17,9,26,0.000762,0.002368,True,127,98
Degenerative_abnormality,regular,13,9,22,0.000722,0.001954,True,127,98
Kidney_Failure_Chronic,regular,14,4,18,0.000670,0.002201,True,127,98
Hypoxia,regular,7,9,16,0.000656,0.001670,True,127,98
Pneumonia,regular,25,9,34,0.000652,0.002301,True,127,98
Hypercalcemia,regular,12,1,13,0.000546,0.002278,False,157,1
Parkinson_Disease,regular,24,5,29,0.000544,0.003391,True,127,98
Syndrome,regular,35,8,43,0.000506,0.005088,True,127,98
Pain,regular,13,2,15,0.000465,0.002752,True,127,98
Malignant_Neoplasms,regular,25,5,30,0.000395,0.002019,True,162,4
Inflammatory_Response,regular,33,5,38,0.000361,0.002047,True,127,98
Cushing_Syndrome,regular,6,1,7,0.000334,0.001142,False,170,1
Diarrhea,regular,6,3,9,0.000311,0.001346,False,11,1
Atrial_Fibrillation,regular,1,4,5,0.000308,0.000584,True,127,98
Hyperinsulinism,regular,5,3,8,0.000293,0.000496,True,127,98
Hypertrophy,regular,16,4,20,0.000252,0.001303,True,127,98
Apoptosis,regular,155,5,160,0.000248,0.063005,True,133,6
Congenital_Abnormality,regular,8,5,13,0.000229,0.000678,False,247,1
Arthritis,regular,7,2,9,0.000226,0.000903,False,355,1
Malaria,regular,5,3,8,0.000223,0.000881,False,1055,1
Pancreatitis,regular,11,2,13,0.000223,0.000908,True,127,98
Vasospasm,regular,1,4,5,0.000222,0.000377,False,296,1
Ventricular_Fibrillation,regular,1,3,4,0.000217,0.000285,False,89,1
Lesion,regular,12,8,20,0.000207,0.000768,False,313,1
Stress,regular,15,9,24,0.000197,0.000730,False,464,1
Malnutrition,regular,3,7,10,0.000185,0.001789,True,127,98
