"analysis_type"   , "nodes_removed", "total_nodes", "total_edges", "num_cycles", "num_sccs", "largest_scc", "is_dag"
"Baseline"        ,               0,           960,          1865,      9907817,          2,            60, FALSE
"Combined Removal",               9,           951,          1286,          128,          2,            21, FALSE
