from,to
Degenerative_abnormality,Alzheimers
Degenerative_abnormality,Blind_Vision
Degenerative_abnormality,Hypertension
Alzheimers,Degenerative_abnormality
Diabetes,Alzheimers
Diabetes,Blind_Vision
Diabetes,Hypertension
Hypertension,Alzheimers
Hypertension,Diabetes
