"cycle_length","count"
2,56
3,121
4,491
5,1521
6,4537
7,12787
8,32316
9,74853
10,154864
11,289864
12,491244
13,747168
14,1023245
15,1251117
16,1367016
17,1314966
18,1115568
19,842108
20,563209
21,335386
22,175367
23,75807
24,25766
25,6814
26,1433
27,193
