cycle_length,count
2,1
3,1
9,1
10,6
11,22
12,51
13,196
14,479
15,1452
16,3713
17,8826
18,17248
19,29547
20,44902
21,61871
22,79364
23,94674
24,105922
25,110116
26,106628
27,95913
28,79996
29,61573
30,43270
31,27471
32,15367
33,7361
34,2906
35,896
36,200
37,26
38,1
