node,node_type,in_degree,out_degree,total_degree,betweenness,pagerank,in_cycle,scc_id,scc_size
Corticotropin,regular,0,1,1,0.000000,0.001015,False,133,1
COVID_19,regular,0,1,1,0.000000,0.001015,False,134,1
Cushing_Syndrome,regular,0,1,1,0.000000,0.001015,False,135,1
Cyclosporine,regular,0,1,1,0.000000,0.001015,False,136,1
cytokine,regular,0,1,1,0.000000,0.001015,False,137,1
Dementia,regular,0,1,1,0.000000,0.001015,False,138,1
Denervation,regular,0,1,1,0.000000,0.001015,False,139,1
Deoxycorticosterone,regular,0,1,1,0.000000,0.001015,False,140,1
desoxycorticosterone_acetate,regular,0,1,1,0.000000,0.001015,False,141,1
Deterioration,regular,0,1,1,0.000000,0.001015,False,142,1
Dexamethasone,regular,0,1,1,0.000000,0.001015,False,143,1
Diabetes,regular,1,2,3,0.000000,0.003104,True,68,37
Diabetes_Mellitus,regular,1,1,2,0.000000,0.003104,True,68,37
Diabetes_Mellitus_Non_Insulin_Dependent,regular,1,1,2,0.000000,0.003104,True,68,37
Diabetic_Nephropathy,regular,1,1,2,0.000000,0.003104,True,68,37
Diet,regular,0,2,2,0.000000,0.001015,False,144,1
Diet_High_Fat,regular,0,1,1,0.000000,0.001015,False,145,1
Diet_Protein_Restricted,regular,0,1,1,0.000000,0.001015,False,146,1
DNA_Mitochondrial,regular,0,1,1,0.000000,0.001015,False,147,1
DOCA,regular,0,1,1,0.000000,0.001015,False,148,1
Dopamine,regular,0,1,1,0.000000,0.001015,False,149,1
Dopamine_Receptor,regular,0,1,1,0.000000,0.001015,False,150,1
Down_Syndrome,regular,0,1,1,0.000000,0.001015,False,151,1
Drinking_Water,regular,0,1,1,0.000000,0.001015,False,152,1
Embolism,regular,0,1,1,0.000000,0.001015,False,153,1
Emotional_Stress,regular,0,1,1,0.000000,0.001015,False,154,1
Endocrine_System_Diseases,regular,0,1,1,0.000000,0.001015,False,155,1
Endopeptidases,regular,0,1,1,0.000000,0.001015,False,156,1
Endothelial_dysfunction,regular,1,1,2,0.000000,0.003104,True,68,37
Endothelin,regular,0,1,1,0.000000,0.001015,False,157,1
Endothelin_1,regular,0,1,1,0.000000,0.001015,False,158,1
Epinephrine,regular,0,1,1,0.000000,0.001015,False,159,1
ERCC8_CSH1_HSPA9,regular,0,1,1,0.000000,0.001015,False,160,1
Erythropoietin,regular,0,1,1,0.000000,0.001015,False,161,1
Essential_Hypertension,regular,1,1,2,0.000000,0.003104,True,68,37
Estrogens,regular,0,1,1,0.000000,0.001015,False,162,1
Ethanol,regular,0,1,1,0.000000,0.001015,False,163,1
Excision,regular,0,1,1,0.000000,0.001015,False,164,1
Fetal_Growth_Retardation,regular,1,1,2,0.000000,0.003104,True,68,37
Fibromuscular_Dysplasia,regular,0,1,1,0.000000,0.001015,False,165,1
Fibrosis,regular,1,1,2,0.000000,0.003104,True,68,37
Fluid_overload,regular,0,1,1,0.000000,0.001015,False,166,1
Free_Radicals,regular,0,1,1,0.000000,0.001015,False,167,1
fructose,regular,0,1,1,0.000000,0.001015,False,168,1
galactose,regular,0,1,1,0.000000,0.001015,False,169,1
gamma_secretase,regular,0,1,1,0.000000,0.001015,False,170,1
Gene_Mutation,regular,0,1,1,0.000000,0.001015,False,171,1
gene_therapy,regular,0,1,1,0.000000,0.001015,False,172,1
Glucocorticoid_remediable_aldosteronism,regular,0,1,1,0.000000,0.001015,False,173,1
Glucocorticoids,regular,0,1,1,0.000000,0.001015,False,174,1
Glycogen_Synthase_Kinase_3,regular,0,1,1,0.000000,0.001015,False,175,1
Glycosylation_End_Products_Advanced,regular,0,1,1,0.000000,0.001015,False,176,1
Glycyrrhizic_Acid,regular,0,1,1,0.000000,0.001015,False,177,1
Heart_failure,regular,1,1,2,0.000000,0.003104,True,68,37
Herpesvirus_1_Human,regular,0,1,1,0.000000,0.001015,False,178,1
homocysteine,regular,0,1,1,0.000000,0.001015,False,179,1
