node,scc_id,scc_size
Hyperuricemia,190,1
Hypoplasia,191,1
imbalance,192,1
Immobilization,193,1
Immunosuppressive_Agents,194,1
IMPACT_gene,195,1
Impaired_cognition,196,1
Inflammasomes,197,1
Inflammatory_Response,198,1
Infusion_procedures,199,1
inhibitors,200,1
Injection,201,1
Injection_procedure,202,1
Injury,203,1
Insulin,204,1
Intestinal_Microbiome,205,1
Intubation_Intratracheal,206,1
Ions,207,1
Iron,208,1
Juxtaglomerular_tumor,209,1
Kidney_Transplantation,210,1
Leptin,211,1
Licorice,212,1
Ligation,213,1
Lipids,214,1
Lipopolysaccharides,215,1
Liquid_substance,216,1
Magnesium,217,1
Malnutrition,218,1
MAPT,219,1
MAPT_protein_human_MAPT,220,1
Memory_impairment,221,1
Mental_deterioration,222,1
Metabolic_syndrome,223,1
Metals,224,1
MicroRNAs,225,1
Mineralocorticoid_Receptor,226,1
Mineralocorticoids,227,1
Mutation,228,1
Na_K_Exchanging_ATPase,229,1
Neoplasm,230,1
Neoplasm_Metastasis,231,1
Nephrectomy,232,1
Nerve_Degeneration,233,1
neuronal,234,1
neuron_loss,235,1
Neurotoxins,236,1
NG_Nitroarginine_Methyl_Ester,237,1
Nicotine,238,1
Nicotinic_Receptors,239,1
Nitric_Oxide,240,1
Nitric_Oxide_Synthase,241,1
Nitroarginine,242,1
Noise,243,1
Norepinephrine,244,1
NOS3_protein_human_NOS3,245,1
Obstruction,246,1
Okadaic_Acid,247,1
Operative_Surgical_Procedures,248,1
Ouabain,249,1
Overweight,250,1
Oxidation,251,1
Oxidative_Stress,252,1
Paraganglioma,253,1
Pathologic_Processes,254,1
Peptidyl_Dipeptidase_A,255,1
Perinephritis,256,1
Pharmacotherapy,257,1
Phenylephrine,258,1
Pheochromocytoma,259,1
Plasma,260,1
Players,261,1
Polymorphism_Genetic,262,1
Potassium,263,1
presenilin,264,1
presenilin_1,265,1
Pressors,266,1
Prions,267,1
Prostaglandins,268,1
PS2_protein_alzheimer_associated_PSEN2,269,1
PSEN1,270,1
Rare_Diseases,271,1
Reactive_Oxygen_Species,272,1
receptor,273,1
Recombinant_Erythropoietin,274,1
Renal_artery_occlusion,275,1
Renal_Artery_Stenosis,276,1
Renal_infarction,277,1
Renal_ischaemia,278,1
Renal_vascular_disorders_NOS,279,1
Renin,280,1
Saline,281,1
Salts,282,1
scopolamine,283,1
Sensory_denervation_disorder,284,1
Serotonin,285,1
Single_Nucleotide_Polymorphism,286,1
Sleep_Apnea_Obstructive,287,1
Sleep_Apnea_Syndromes,288,1
Sodium,289,1
Sodium_Chloride,290,1
Sodium_Chloride_Dietary,291,1
sorafenib,292,1
Stenosis,293,1
Stenosis_unspecified,294,1
Steroids,295,1
Stimulus,296,1
Streptozocin,297,1
Study_models,298,1
Substance,299,1
SUCLA2_gene_SUCLA2,300,1
Sugars,301,1
Superoxides,302,1
Tacrolimus,303,1
Takayasu_s_Arteritis,304,1
tau_Proteins,305,1
Testosterone,306,1
Thrombosis,307,1
TNF_protein_human_TNF,308,1
Tourniquets,309,1
Toxic_effect,310,1
Transplantation,311,1
Traumatic_Brain_Injury,312,1
Unilateral_nephrectomy,313,1
Unilateral_renal_artery_stenosis,314,1
Uric_Acid,315,1
vascular_factor,316,1
Vasoconstrictor_Agents,317,1
Vasodilation_disorder,318,1
Vasospasm,319,1
Virus,320,1
Vitamin_D_Deficiency,321,1
Water,322,1
Wounds_and_Injuries,323,1
Zinc,324,1
