node,node_type,in_degree,out_degree,total_degree,betweenness,pagerank,in_cycle,scc_id,scc_size
Hypertension,exposure,217,90,307,0.067328,0.087850,True,76,50
Alzheimers,outcome,105,18,123,0.019043,0.049002,True,76,50
Inflammation,regular,46,7,53,0.011624,0.012213,True,76,50
Degenerative_abnormality,regular,4,4,8,0.005135,0.003613,True,76,50
Infection,regular,26,6,32,0.003986,0.008396,False,94,1
Injury,regular,39,10,49,0.003417,0.006122,False,98,1
Obesity,regular,8,12,20,0.002758,0.002347,True,76,50
Ischemia,regular,8,9,17,0.002638,0.002501,True,76,50
Inflammatory_Response,regular,11,2,13,0.002398,0.003003,False,88,1
Toxic_effect,regular,29,2,31,0.002372,0.004708,False,103,1
Heart_failure,regular,16,4,20,0.002327,0.008226,True,76,50
Insulin_Resistance,regular,14,6,20,0.002219,0.003324,True,76,50
Fibrosis,regular,18,3,21,0.002084,0.004102,True,76,50
Oxidative_Stress,regular,28,6,34,0.001870,0.003989,False,119,1
Cerebrovascular_accident,regular,9,5,14,0.001675,0.003524,True,76,50
Neoplasm,regular,11,4,15,0.001312,0.003062,True,101,2
Hypertrophic_Cardiomyopathy,regular,2,2,4,0.001210,0.001276,False,49,1
Diabetes,regular,12,10,22,0.000994,0.002916,True,76,50
Hypercalcemia,regular,5,1,6,0.000843,0.003278,False,99,1
Kidney_Failure_Chronic,regular,7,2,9,0.000684,0.002777,True,76,50
COVID_19,regular,5,11,16,0.000664,0.001674,False,172,1
Hypoxia,regular,2,5,7,0.000615,0.001456,True,76,50
Hypertension_Pulmonary,regular,4,1,5,0.000606,0.002064,False,45,1
Ventricular_Fibrillation,regular,1,2,3,0.000605,0.000676,False,59,1
Hyperinsulinism,regular,1,2,3,0.000602,0.000910,True,76,50
Parkinson_Disease,regular,10,1,11,0.000509,0.005433,True,76,50
Septicemia,regular,6,8,14,0.000443,0.002288,False,93,1
Atherosclerosis,regular,5,5,10,0.000382,0.004079,True,76,50
Myocardial_Infarction,regular,10,2,12,0.000344,0.003572,True,76,50
Cushing_Syndrome,regular,2,1,3,0.000337,0.001186,False,173,1
Thrombosis,regular,2,5,7,0.000337,0.000887,False,466,1
Vasospasm,regular,1,2,3,0.000337,0.001130,False,481,1
Kidney_Diseases,regular,4,5,9,0.000330,0.001828,True,76,50
Hypertrophy,regular,5,1,6,0.000326,0.002707,True,76,50
Apoptosis,regular,77,3,80,0.000300,0.075406,True,109,4
Obstruction,regular,3,13,16,0.000232,0.000933,False,231,1
Cardiovascular_Diseases,regular,7,3,10,0.000215,0.005855,True,76,50
Malignant_Neoplasms,regular,5,2,7,0.000178,0.001764,True,101,2
Stress,regular,5,1,6,0.000170,0.001053,False,238,1
Nerve_Degeneration,regular,4,1,5,0.000170,0.000952,False,236,1
Hyperparathyroidism_Primary,regular,1,1,2,0.000170,0.000813,False,613,1
Subarachnoid_Hemorrhage,regular,1,1,2,0.000170,0.000813,False,683,1
Down_Syndrome,regular,1,1,2,0.000169,0.000813,False,204,1
Hyperuricemia,regular,1,1,2,0.000169,0.000813,False,268,1
Traumatic_Brain_Injury,regular,1,2,3,0.000169,0.000813,False,474,1
Fetal_Growth_Retardation,regular,2,1,3,0.000167,0.001643,True,76,50
Impaired_cognition,regular,3,1,4,0.000167,0.000730,False,274,1
Hyperglycemia,regular,8,4,12,0.000093,0.001534,True,76,50
Chronic_Kidney_Diseases,regular,2,1,3,0.000082,0.001456,True,76,50
Diabetes_Mellitus,regular,3,4,7,0.000047,0.001400,True,76,50
Endothelial_dysfunction,regular,6,3,9,0.000047,0.003967,True,76,50
Asthma,regular,3,2,5,0.000037,0.002296,False,9,1
Lesion,regular,3,2,5,0.000035,0.000576,False,232,1
Pneumonia,regular,9,2,11,0.000010,0.001611,False,168,1
Cardiomyopathies,regular,6,2,8,0.000007,0.001816,True,76,50
Seizures,regular,6,1,7,0.000006,0.002389,False,336,1
Diabetes_Mellitus_Non_Insulin_Dependent,regular,6,2,8,0.000005,0.001988,True,76,50
Cytokinesis_of_the_fertilized_ovum,regular,1,1,2,0.000005,0.000626,False,209,1
Cell_Death,regular,11,1,12,0.000004,0.031495,True,109,4
Neurodegenerative_Disorders,regular,4,2,6,0.000004,0.003451,True,76,50
Malaria,regular,3,1,4,0.000003,0.001373,False,626,1
Cardiac_Hypertrophy,regular,5,1,6,0.000003,0.001752,True,76,50
cardiac_arrhythmia,regular,5,1,6,0.000003,0.002159,False,21,1
