"confounder","n_confounder_parents","confounder_parents","is_butterfly"
"Chronic_inflammation",4,"Injection_procedure, Lipopolysaccharides, Obesity, Reactive_Oxygen_Species",TRUE
"Diabetes",11,"Antioxidants, Diet, Injection_procedure, Insulin_Resistance, Mutation, Obesity, Oxidative_Stress, Process, Streptozocin, Toxic_effect, imbalance",TRUE
"Inflammatory_Response",7,"Diabetes, Diet, Injection_procedure, Lipopolysaccharides, Obesity, Reactive_Oxygen_Species, receptor",TRUE
"Insulin_Resistance",7,"Diabetes, Diet, Lipopolysaccharides, Obesity, Reactive_Oxygen_Species, Streptozocin, receptor",TRUE
"Obesity",10,"Chronic_inflammation, Diabetes, Diet, Insulin_Resistance, Intestinal_Microbiome, Mutation, Oxidative_Stress, Process, imbalance, receptor",TRUE
"Oxidative_Stress",8,"Antioxidants, Diet, IMPACT_gene, Lipopolysaccharides, Nitric_Oxide, Reactive_Oxygen_Species, Streptozocin, receptor",TRUE
"Toxic_effect",7,"Antioxidants, Diet, IMPACT_gene, Lipopolysaccharides, Nitric_Oxide, Reactive_Oxygen_Species, Streptozocin",TRUE
"Vascular_Diseases",3,"Diabetes, Mutation, Process",TRUE
"imbalance",5,"Diabetes, Lipopolysaccharides, Mutation, Obesity, Reactive_Oxygen_Species",TRUE
