from,to
Diabetes_Mellitus_Non_Insulin_Dependent,Alzheimers
Diet,Alzheimers
Diet,Diabetes_Mellitus_Non_Insulin_Dependent
Diet,Hypertension
Hypertension,Alzheimers
Hypertension,Diabetes_Mellitus_Non_Insulin_Dependent
Genes,Alzheimers
Genes,Diabetes_Mellitus_Non_Insulin_Dependent
Genes,Hypertension
