node,node_type,in_degree,out_degree,total_degree,betweenness,pagerank,in_cycle,scc_id,scc_size
Hypertension,exposure,231,98,329,0.223580,0.228034,True,69,44
Alzheimers,outcome,118,23,141,0.084806,0.124619,True,69,44
Degenerative_abnormality,regular,1,2,3,0.008178,0.005530,True,69,44
Disease,regular,2,2,4,0.008178,0.007507,True,69,44
Functional_disorder,regular,2,2,4,0.008178,0.007507,True,69,44
Inflammation,regular,2,2,4,0.008178,0.007507,True,69,44
Symptoms,regular,2,2,4,0.008178,0.007507,True,69,44
Syndrome,regular,2,1,3,0.008178,0.007507,True,69,44
20_hydroxy_5_8_11_14_eicosatetraenoic_acid,regular,0,1,1,0.000000,0.000925,False,70,1
APP_gene,regular,0,1,1,0.000000,0.000925,False,71,1
APP_protein_human,regular,0,1,1,0.000000,0.000925,False,72,1
ATM_gene_ATM,regular,0,1,1,0.000000,0.000925,False,73,1
Abdominal_compartment_syndrome,regular,1,0,1,0.000000,0.002902,False,0,1
Abnormal_renal_function,regular,1,1,2,0.000000,0.002902,True,69,44
Acetate,regular,0,1,1,0.000000,0.000925,False,74,1
Acetylcholinesterase,regular,0,1,1,0.000000,0.000925,False,75,1
Administration_Oral,regular,0,1,1,0.000000,0.000925,False,76,1
Adrenal_Cortex_Hormones,regular,0,1,1,0.000000,0.000925,False,77,1
Adrenal_Gland_Neoplasms,regular,0,1,1,0.000000,0.000925,False,78,1
Adrenergic_Receptor,regular,0,1,1,0.000000,0.000925,False,79,1
Adverse_effects,regular,1,2,3,0.000000,0.002902,True,69,44
Agent,regular,0,2,2,0.000000,0.000925,False,80,1
Aging,regular,1,0,1,0.000000,0.005530,False,1,1
Aldosterone,regular,0,1,1,0.000000,0.000925,False,81,1
Amyloid,regular,0,1,1,0.000000,0.000925,False,82,1
Amyloid_Fibrils,regular,0,1,1,0.000000,0.000925,False,83,1
Amyloid_beta,regular,0,1,1,0.000000,0.000925,False,84,1
Amyloid_beta_Peptides,regular,0,1,1,0.000000,0.000925,False,85,1
Amyloid_beta_Protein_Precursor,regular,0,1,1,0.000000,0.000925,False,86,1
Amyloid_deposition,regular,1,1,2,0.000000,0.005530,True,69,44
Amyloidosis,regular,0,1,1,0.000000,0.000925,False,87,1
Androgens,regular,0,1,1,0.000000,0.000925,False,88,1
Angiogenesis_Inhibitors,regular,0,1,1,0.000000,0.000925,False,89,1
Angiotensins,regular,0,1,1,0.000000,0.000925,False,90,1
Antihypertensive_Agents,regular,0,1,1,0.000000,0.000925,False,91,1
Antioxidants,regular,0,2,2,0.000000,0.000925,False,92,1
Aortic_coarctation,regular,0,1,1,0.000000,0.000925,False,93,1
Apolipoprotein_E4,regular,0,1,1,0.000000,0.000925,False,94,1
Apolipoprotein_E_APOE,regular,0,1,1,0.000000,0.000925,False,95,1
Arginine,regular,0,1,1,0.000000,0.000925,False,96,1
Argipressin,regular,0,1,1,0.000000,0.000925,False,97,1
Arteriosclerosis,regular,1,0,1,0.000000,0.002902,False,12,1
Atherosclerosis,regular,1,1,2,0.000000,0.002902,True,69,44
Atherosclerotic_renal_artery_stenosis,regular,0,1,1,0.000000,0.000925,False,98,1
Atrial_Fibrillation,regular,1,0,1,0.000000,0.002902,False,13,1
Atrophic,regular,1,1,2,0.000000,0.005530,True,69,44
Autonomic_Dysreflexia,regular,0,1,1,0.000000,0.000925,False,99,1
Banding_procedure,regular,0,1,1,0.000000,0.000925,False,100,1
Bilateral_renal_artery_stenosis,regular,0,1,1,0.000000,0.000925,False,101,1
Blood_Pressure,regular,1,0,1,0.000000,0.002902,False,14,1
Blood_Pressure_Monitoring_Ambulatory,regular,0,1,1,0.000000,0.000925,False,102,1
Brain_Edema,regular,1,0,1,0.000000,0.002902,False,15,1
Brain_Injuries,regular,0,1,1,0.000000,0.000925,False,103,1
Brain_hemorrhage,regular,1,0,1,0.000000,0.002902,False,16,1
COVID_19,regular,0,1,1,0.000000,0.000925,False,104,1
Cadmium,regular,0,1,1,0.000000,0.000925,False,105,1
Calcineurin_inhibitor,regular,0,1,1,0.000000,0.000925,False,106,1
Calcium,regular,0,1,1,0.000000,0.000925,False,107,1
Candidate_Disease_Gene,regular,0,1,1,0.000000,0.000925,False,108,1
Cardiac_Hypertrophy,regular,1,0,1,0.000000,0.002902,False,17,1
Cardiac_complication,regular,1,0,1,0.000000,0.002902,False,18,1
Cardiomyopathies,regular,1,0,1,0.000000,0.002902,False,19,1
Cardiovascular_Diseases,regular,1,1,2,0.000000,0.002902,True,69,44
Cardiovascular_morbidity,regular,1,0,1,0.000000,0.002902,False,20,1
Catecholamines,regular,0,1,1,0.000000,0.000925,False,109,1
Cerebral_Amyloid_Angiopathy,regular,0,1,1,0.000000,0.000925,False,110,1
Cerebral_Edema,regular,1,0,1,0.000000,0.002902,False,21,1
Cerebral_Hemorrhage,regular,1,0,1,0.000000,0.002902,False,22,1
Cerebral_atrophy,regular,1,1,2,0.000000,0.005530,True,69,44
Cerebral_hemisphere_hemorrhage,regular,1,0,1,0.000000,0.002902,False,23,1
Cerebrospinal_Fluid,regular,0,1,1,0.000000,0.000925,False,111,1
Cerebrovascular_Disorders,regular,1,0,1,0.000000,0.002902,False,24,1
Cerebrovascular_accident,regular,1,1,2,0.000000,0.002902,True,69,44
Cessation_of_life,regular,2,0,2,0.000000,0.007507,False,2,1
Cholesterol,regular,0,1,1,0.000000,0.000925,False,112,1
Chronic_Kidney_Diseases,regular,1,1,2,0.000000,0.002902,True,69,44
Chronic_heart_failure,regular,1,0,1,0.000000,0.002902,False,25,1
Chronic_inflammation,regular,0,2,2,0.000000,0.000925,False,113,1
Chymosin_REN,regular,0,1,1,0.000000,0.000925,False,114,1
Clip,regular,0,1,1,0.000000,0.000925,False,115,1
Clipping,regular,0,1,1,0.000000,0.000925,False,116,1
Closure_by_clamp,regular,0,1,1,0.000000,0.000925,False,117,1
Cocaine,regular,0,1,1,0.000000,0.000925,False,118,1
Complication,regular,1,1,2,0.000000,0.002902,True,69,44
Compression_procedure,regular,0,1,1,0.000000,0.000925,False,119,1
Congenital_Abnormality,regular,0,1,1,0.000000,0.000925,False,120,1
Congestive_heart_failure,regular,1,0,1,0.000000,0.002902,False,26,1
Conn_Syndrome,regular,0,1,1,0.000000,0.000925,False,121,1
Constriction_procedure,regular,0,1,1,0.000000,0.000925,False,122,1
Contraceptives_Oral,regular,0,1,1,0.000000,0.000925,False,123,1
Contraction,regular,1,1,2,0.000000,0.002902,True,69,44
Copper,regular,0,1,1,0.000000,0.000925,False,124,1
Coronary_Arteriosclerosis,regular,1,0,1,0.000000,0.002902,False,27,1
Coronary_heart_disease,regular,1,0,1,0.000000,0.002902,False,28,1
Corticosterone,regular,0,1,1,0.000000,0.000925,False,125,1
Corticotropin,regular,0,1,1,0.000000,0.000925,False,126,1
Cushing_Syndrome,regular,0,1,1,0.000000,0.000925,False,127,1
Cyclosporine,regular,0,1,1,0.000000,0.000925,False,128,1
DNA_Mitochondrial,regular,0,1,1,0.000000,0.000925,False,129,1
DOCA,regular,0,1,1,0.000000,0.000925,False,130,1
Dementia,regular,0,1,1,0.000000,0.000925,False,131,1
Dementia_Vascular,regular,2,0,2,0.000000,0.007507,False,3,1
Denervation,regular,0,1,1,0.000000,0.000925,False,132,1
Deoxycorticosterone,regular,0,1,1,0.000000,0.000925,False,133,1
Deterioration,regular,0,1,1,0.000000,0.000925,False,134,1
Dexamethasone,regular,0,1,1,0.000000,0.000925,False,135,1
Diabetes,regular,1,2,3,0.000000,0.002902,True,69,44
Diabetes_Mellitus,regular,1,1,2,0.000000,0.002902,True,69,44
Diabetes_Mellitus_Non_Insulin_Dependent,regular,1,1,2,0.000000,0.002902,True,69,44
Diabetic_Nephropathy,regular,1,1,2,0.000000,0.002902,True,69,44
Diagnosis,regular,2,0,2,0.000000,0.007507,False,4,1
Diastolic_dysfunction,regular,1,0,1,0.000000,0.002902,False,29,1
Diet,regular,0,2,2,0.000000,0.000925,False,136,1
Diet_High_Fat,regular,0,1,1,0.000000,0.000925,False,137,1
Diet_Protein_Restricted,regular,0,1,1,0.000000,0.000925,False,138,1
Disability_NOS,regular,2,0,2,0.000000,0.007507,False,5,1
