node,scc_id,scc_size
Pre_Eclampsia,69,44
Disease,69,44
Stiffness,69,44
Abnormal_renal_function,69,44
Syndrome,69,44
Diabetes,69,44
Kidney_Failure_Chronic,69,44
Cardiovascular_Diseases,69,44
Essential_Hypertension,69,44
Parkinson_Disease,69,44
Fibrosis,69,44
Vascular_Diseases,69,44
Cerebrovascular_accident,69,44
Neurofibrillary_Tangles,69,44
Functional_disorder,69,44
Chronic_Kidney_Diseases,69,44
Alzheimers,69,44
Hypertension,69,44
Hypertrophy,69,44
Fetal_Growth_Retardation,69,44
Degenerative_abnormality,69,44
Amyloid_deposition,69,44
Insulin_Resistance,69,44
Diabetes_Mellitus_Non_Insulin_Dependent,69,44
Obesity,69,44
Diabetic_Nephropathy,69,44
Hypoxia,69,44
Atrophic,69,44
Kidney_Diseases,69,44
Adverse_effects,69,44
Complication,69,44
Neurodegenerative_Disorders,69,44
Heart_failure,69,44
Inflammation,69,44
Contraction,69,44
Symptoms,69,44
Pathogenesis,69,44
Ischemia,69,44
Diabetes_Mellitus,69,44
Renal_Insufficiency,69,44
Endothelial_dysfunction,69,44
Atherosclerosis,69,44
Kidney_Failure,69,44
Cerebral_atrophy,69,44
Abdominal_compartment_syndrome,0,1
Aging,1,1
Cessation_of_life,2,1
Dementia_Vascular,3,1
Diagnosis,4,1
Disability_NOS,5,1
Evaluation,6,1
Evaluation_procedure,7,1
Lewy_Body_Disease,8,1
Memory_Loss,9,1
Senile_Plaques,10,1
Senile_dementia,11,1
Arteriosclerosis,12,1
Atrial_Fibrillation,13,1
Blood_Pressure,14,1
Brain_Edema,15,1
Brain_hemorrhage,16,1
Cardiac_Hypertrophy,17,1
Cardiac_complication,18,1
Cardiomyopathies,19,1
Cardiovascular_morbidity,20,1
Cerebral_Edema,21,1
Cerebral_Hemorrhage,22,1
Cerebral_hemisphere_hemorrhage,23,1
Cerebrovascular_Disorders,24,1
Chronic_heart_failure,25,1
Congestive_heart_failure,26,1
Coronary_Arteriosclerosis,27,1
Coronary_heart_disease,28,1
Diastolic_dysfunction,29,1
Dissection_of_aorta,30,1
Edema,31,1
Encephalopathies,32,1
End_stage_renal_failure,33,1
Erectile_dysfunction,34,1
Extravasation,35,1
Glomerulosclerosis,36,1
Growth,37,1
Headache,38,1
Heart_Diseases,39,1
Hospital_admission,40,1
Hospitalization,41,1
Hypertension_Pulmonary,42,1
Hypertensive_heart_disease_NOS,43,1
Hypertrophic_Cardiomyopathy,44,1
Hypertrophy_Left_Ventricular,45,1
Infarction,46,1
Intracranial_Hemorrhages,47,1
Ischemic_stroke,48,1
Kidney_Failure_Acute,49,1
Labor_Childbirth,50,1
Lack_of_sensation,51,1
Myocardial_Infarction,52,1
Myocardial_Ischemia,53,1
Myocardial_dysfunction,54,1
Myocardial_fibrosis,55,1
Nephrosclerosis,56,1
Pathological_Dilatation,57,1
Posterior_reversible_encephalopathy_syndrome,58,1
Pregnancy,59,1
Premature_Birth,60,1
Proteinuria,61,1
Pulmonary_Edema,62,1
Purpura_Thrombotic_Thrombocytopenic,63,1
Spastic_syndrome,64,1
Ventricular_Dysfunction_Left,65,1
Ventricular_hypertrophy,66,1
cardiac_arrhythmia,67,1
end_organ_damage,68,1
20_hydroxy_5_8_11_14_eicosatetraenoic_acid,70,1
APP_gene,71,1
APP_protein_human,72,1
ATM_gene_ATM,73,1
Acetate,74,1
Acetylcholinesterase,75,1
