cycle_length,count
2,62
3,95
4,185
5,476
6,1147
7,2342
8,4249
9,6606
10,8930
11,10813
12,11601
13,10914
14,8937
15,6367
16,3969
17,2120
18,900
19,260
20,37
21,1
