node,num_cycles
Hypertension,79547
Inflammation,76768
Atherosclerosis,64433
Obesity,63744
Insulin_Resistance,62956
Endothelial_dysfunction,59000
Hyperglycemia,58867
Ischemia,56278
Alzheimers,55509
Diabetes,51384
Diabetes_Mellitus_Non_Insulin_Dependent,48197
Heart_failure,27678
Hypoxia,20800
Degenerative_abnormality,20023
Inflammatory_Response,16146
Cerebrovascular_accident,13641
Cardiovascular_Diseases,13384
Hypertrophy,10122
Sleep_Apnea_Obstructive,10118
Fibrosis,10024
Hyperinsulinism,9987
Deglutition_Disorders,9094
Malnutrition,9094
Septicemia,9070
Myocardial_Infarction,7480
Coronary_Arteriosclerosis,7212
Non_alcoholic_fatty_liver,6696
Arteriosclerosis,6030
Parkinson_Disease,5760
Neurodegenerative_Disorders,5560
Diabetes_Mellitus,5127
Spastic_syndrome,5062
Fetal_Growth_Retardation,4548
Diabetic_Nephropathy,4460
Kidney_Diseases,3819
Ventricular_Dysfunction_Left,3741
Kidney_Failure_Chronic,3662
Kidney_Failure,3661
Ischemic_stroke,3402
Infarction,2415
Chronic_liver_disease_NOS,2232
Liver_diseases,2232
Pathogenesis,1810
Vascular_Diseases,1810
Myocardial_Ischemia,1804
Cardiomyopathies,1669
Chronic_inflammation,1382
Coronary_heart_disease,1133
Chronic_Kidney_Diseases,1116
Metabolic_syndrome,1116
Dyslipidemias,782
Apoptosis,9
Atrial_Fibrillation,7
Neoplasm,5
Neoplasm_Metastasis,4
Malignant_Neoplasms,4
Cell_Death,4
Cell_Proliferation,3
Autophagy,2
Cell_Cycle_Arrest,2
Cell_Survival,2
Contraction,2
Up_Regulation_Physiology,1
Down_Regulation,1
tumor_growth,1
COVID_19,1
Severe_Acute_Respiratory_Syndrome,1
Pneumonia,1
Infection,1
Stiffness,1
Hypertrophic_Cardiomyopathy,1
Renal_Insufficiency,1
Amyloid_deposition,1
Heart_Diseases,1
Diastolic_dysfunction,1
Asthma,1
Autoimmune_Diseases,1
Inflammatory_Bowel_Diseases,1
Rheumatoid_Arthritis,1
Amyotrophic_Lateral_Sclerosis,1
Pre_Eclampsia,1
Cerebral_atrophy,1
Abnormal_renal_function,1
Cardiac_Hypertrophy,1
Essential_Hypertension,1
Neurofibrillary_Tangles,1
Atrophic,1
Seizures,1
Epilepsy,1
