from,to
Amyloidosis,Alzheimers
Amyloidosis,Heart_failure
Heart_failure,Hypertension
Constriction_procedure,Hypertension
Constriction_procedure,Heart_failure
Hypertension,Alzheimers
Hypertension,Heart_failure
