"metric","value"
"Baseline Nodes","3812"
"Baseline Edges","12157"
"Baseline SCCs","3"
"Baseline Nodes in SCCs","315"
"Baseline Largest SCC","302"
"Candidates Found","17"
"Candidates Removed","17"
"After Nodes","3795"
"After Edges","7983"
"After SCCs","4"
"After Nodes in SCCs","207"
"After Largest SCC","192"
"Total Edges Removed","4174"
"Is DAG","NO"
