"node","in_degree","out_degree","total_degree","betweenness"
"Acute_myocardial_infarction",8,7,15,136.947049339752
"Congestive_heart_failure",27,6,33,2761.69167303256
"Heart_failure",109,30,139,54437.2099823412
"Acute_myocardial_ischemia",1,1,2,3.65205273378227
"Acute_pulmonary_embolism",0,1,1,0
"Acute_respiratory_failure",2,1,3,0
"Acute_respiratory_infection_NOS",1,2,3,0.063003663003663
"Addictive_Behavior",3,1,4,11.5808906519211
"Adenocarcinoma",0,1,1,0
"Neoplasm_Metastasis",12,13,25,2731.56382317923
"Adenosine",0,6,6,0
"Ischemia",83,76,159,79643.0162036512
"Adenosine_Triphosphate",0,1,1,0
"Adenovirus_Vector",0,1,1,0
"Adenoviruses",0,3,3,0
"Adhesions",15,7,22,494.58093205513
"Atherosclerosis",54,35,89,21541.5462842445
"Adiponectin",0,1,1,0
"Administration_Oral",0,7,7,0
"Colitis",14,1,15,13.7160235189647
"Gastric_ulcer",6,0,6,0
"Immune_Tolerance",6,0,6,0
"Lesion_of_stomach",4,0,4,0
"Adoptive_Transfer",0,3,3,0
"Adrenal_Cortex_Hormones",0,22,22,0
"Adverse_event",7,4,11,12.7975710314214
"Atrophic_condition_of_skin",2,0,2,0
"Bone_necrosis",7,0,7,0
"Cataract",12,1,13,3.77227401907928
"Diabetes_Mellitus",24,28,52,6193.25960311582
"Glaucoma",10,4,14,83.3060751632896
"Hyperglycemia",38,31,69,20003.4476518818
"Intraocular_pressure_disorder",3,2,5,3.5972027972028
"Myopathy",10,2,12,0.529232006635163
"Ocular_Hypertension",4,0,4,0
"Osteopenia",11,0,11,0
"Osteoporosis",21,3,24,106.549938197045
"Secondary_hypocortisolism",1,0,1,0
"loss_bone",16,0,16,0
"Adrenal_Cortical_Adenoma",2,2,4,1.33333333333333
"Conn_Syndrome",9,3,12,4928.37945845005
"Adrenal_Gland_Hyperfunction",0,1,1,0
"Adrenal_Gland_Neoplasms",1,2,3,0
"Adrenal_adenoma",2,2,4,1.33333333333333
"Adrenal_carcinoma",0,1,1,0
"Adrenal_gland_hypofunction",4,1,5,1
"Hypercalcemia",28,7,35,9262.1299809462
"Adrenergic_Receptor",0,4,4,0
"Vasodilation",22,0,22,0
"Adrenergic_alpha_Agonists",0,1,1,0
"Adrenergic_beta_Antagonists",0,1,1,0
"Adrenocortical_carcinoma",1,2,3,0.333333333333333
"Adrenocortical_hyperplasia",0,1,1,0
"Adriamycin",0,9,9,0
"Cardiomyopathies",53,12,65,10780.6734449046
"Glomerulosclerosis",3,0,3,0
"Proteinuria",20,2,22,1859.11973387754
"Advance",0,4,4,0
"Infection",32,37,69,23602.5152515902
"Labor_Childbirth",24,0,24,0
"Disability_NOS",95,2,97,20341.8479182176
"Adverse_reaction_to_drug",1,1,2,0.0121951219512195
"Adverse_reactions",2,1,3,0
"Aeroallergen",0,2,2,0
"Aeromonas",0,1,1,0
"Aeromonas_hydrophila",0,1,1,0
"Aerosols",0,2,2,0
"Aflatoxin_B1",0,4,4,0
"Aflatoxins",0,1,1,0
"African_Swine_Fever_Virus",0,1,1,0
"Agar",0,1,1,0
"Age_related_macular_degeneration",5,2,7,6.92791217534629
"Agent",0,89,89,0
"Allergic_Reaction",5,1,6,0.107936880192978
"Anaphylaxis",5,1,6,0.115512637768735
"Asthma",24,9,33,1458.44761200793
"Bacteremia",3,3,6,0.0254329004329004
"Burn_injury",1,5,6,0.0666666666666667
"Carcinogenesis",12,1,13,92.775878982129
"Cardiotoxicity",7,4,11,5.84055950465735
"Communicable_Diseases",6,10,16,355.954917236764
"Creutzfeldt_Jakob_Syndrome",2,0,2,0
"Dermatitis",3,0,3,0
"Encephalitis",6,2,8,0.265019816249324
"Encephalopathy_Bovine_Spongiform",2,0,2,0
"Extravasation",43,10,53,8033.77806319515
"Gastroenteritis",2,2,4,0.136416361416361
"Growth_arrest",7,0,7,0
"Hemorrhagic_Fevers_Viral",2,0,2,0
"Hepatitis",7,2,9,0.117052138247614
"Hepatitis_C",2,4,6,0.0332417582417582
"Hepatotoxicity",10,0,10,0
"Hypersensitivity",24,3,27,56.9729137233482
"Hypoxia",45,31,76,22936.503143657
"Infections_Hospital",2,3,5,0.136416361416361
"Infertility",21,1,22,44.3701945335425
"Injury_of_stomach",2,0,2,0
"Liver_damage",21,0,21,0
"Lung_diseases",8,4,12,216.352524719692
"Lysis",6,1,7,0.140817515817516
"Malaria",2,6,8,0.406746031746032
"Malignant_Neoplasms",28,10,38,512.387480545737
"Malignant_neoplasm_of_lung",2,3,5,0.601190476190476
"Meningitis",6,1,7,0.64680295697553
"Morphologically_altered_structure",11,0,11,0
"NEPHROTOXICITY",7,3,10,3.88313492063492
"Necrosis",25,3,28,20.7597982385855
"Neurodegenerative_Disorders",29,13,42,3005.01818832775
"Neuropathy",17,4,21,27.0358033796369
"Occupational_asthma",3,0,3,0
"Pancreatitis",24,9,33,2471.07815086817
"Peripheral_Neuropathy",9,1,10,0.547905982905983
"Pneumonia",15,11,26,2426.60506864605
"Poisoning",4,5,9,2.74365125615126
"Primary_carcinoma_of_the_liver_cells",8,1,9,0
"Prion_Diseases",3,1,4,0
"Pulmonary_Fibrosis",10,2,12,38.9336276393326
"Respiration_Disorders",4,5,9,0.849114774114774
"Respiratory_Tract_Infections",3,6,9,0.578716556348135
"Sarcoidosis",2,4,6,0.445683710784141
"Scrapie",2,0,2,0
"Septic_Shock",4,2,6,0.218909676389185
"Septicemia",20,17,37,1144.32322826048
"Shock",24,5,29,2060.43629411135
"Thrombocytopenia",13,4,17,1585.83213615546
"Tissue_damage",15,5,20,6.93244047619048
"Torsades_de_Pointes",3,0,3,0
