"node","in_degree","out_degree","total_degree","betweenness"
"Epilepsy",23,7,30,210.013152650911
"Seizures",25,5,30,106.990844894161
"Brain_Ischemia",1,1,2,0
"Brain_hemorrhage",1,1,2,0
"Bronchiolitis",1,2,3,0.147619047619048
"Bronchiolitis_Obliterans",0,1,1,0
"Bronchopneumonia",0,1,1,0
"Brucella",0,1,1,0
"Brucellosis",0,2,2,0
"Bunyaviridae",0,1,1,0
"Bupivacaine",0,5,5,0
"Burkholderia_pseudomallei",0,1,1,0
"Bursaphelenchus_xylophilus",0,1,1,0
"Butadiene",0,1,1,0
"CA2",0,6,6,0
"CADASIL",2,1,3,0
"CARDIAC_causes",0,1,1,0
"CAROTID_DISEASE",0,1,1,0
"CATALASE",0,1,1,0
"CCM1_gene_KRIT1",0,1,1,0
"CD48_wt_Allele",0,1,1,0
"CD4_gene_CD4",0,2,2,0
"CD69_protein_human_CD69",0,3,3,0
"CD8B1_gene_CD8B",0,1,1,0
"CDKN1A_TCEAL1_NSG1_H3F3AP6",0,1,1,0
"CDKN2A_gene_CDKN2A",0,2,2,0
"COLLAGENASE",0,3,3,0
"Acclimatization",3,0,3,0
"Acute_Hypoxemic_Respiratory_Failure",1,0,1,0
"Acute_illness",1,0,1,0
"Cardiac_complication",3,1,4,0
"Challenge",3,0,3,0
"Childbirth",1,0,1,0
"Chronic_Disease",10,9,19,213.119097407771
"Coitus",1,0,1,0
"Coronavirus_Infections",2,4,6,0
"Critical_Illness",2,1,3,0
"Cytokine_Release_Syndrome",1,0,1,0
"Cytokine_Storm",5,3,8,6.77725609418328
"Decreased_Immunologic_Activity_PE",4,1,5,233.045130187636
"Depressive_Symptoms",3,0,3,0
"Diabetic_Ketoacidosis",3,2,5,0.380952380952381
"Discharge_body_substance",1,1,2,0
"Dyspnea",5,3,8,601.455128205128
"Enrollment",1,0,1,0
"Fatigue",4,1,5,0
"Fever",9,5,14,32.7791656325148
"Gastrointestinal_symptom",1,0,1,0
"Guillain_Barre_Syndrome",1,0,1,0
"Health_Services",1,0,1,0
"Hydranencephaly_with_Renal_Aplasia_Dysplasia",1,0,1,0
"Hypoxemic_Respiratory_Failure",1,0,1,0
"Illness_finding",3,1,4,0.0163934426229508
"Intervention_regimes",6,0,6,0
"Medical_care",1,0,1,0
"Multiple_Organ_Failure",8,2,10,0.0443773634640145
"Multisystem_inflammatory_syndrome",1,0,1,0
"Myocarditis",5,7,12,27.6239374441166
"NEUROLOGIC_COMPLICATION",3,1,4,0.00757575757575758
"Neurologic_Symptoms",2,2,4,0.455128205128205
"Patient_Discharge",2,0,2,0
"Physical_Distancing",1,0,1,0
"Pneumonia_Viral",2,0,2,0
"Pulmonary_Embolism",5,4,9,39.8747582672022
"Respiratory_Distress_Syndrome_Adult",11,4,15,615.370641182936
"Respiratory_Failure",9,3,12,3045.59006500601
"Respiratory_distress",2,1,3,0
"Sequela_of_disorder",2,3,5,0.379365079365079
"Severe_Acute_Respiratory_Distress_Syndrome",1,0,1,0
"Severe_Acute_Respiratory_Syndrome",2,3,5,0.0153846153846154
"Severe_infection",1,1,2,0
"Signs_and_Symptoms_Respiratory",2,0,2,0
"Single_organ_dysfunction",2,1,3,0
"Sleep",4,0,4,0
"Smell_Perception",1,0,1,0
"Subacute_thyroiditis",1,0,1,0
"Takotsubo_Cardiomyopathy",2,0,2,0
"Telemedicine",1,0,1,0
"Thrombophilia",4,4,8,63.4305348824171
"follow_up",7,0,7,0
"intensive_care",1,0,1,0
"CRYGC_CRYGEP",0,4,4,0
"CYP2E1_gene_CYP2E1",0,1,1,0
"C_reactive_protein",0,2,2,0
"Cachexia",2,1,3,0
"Cadmium",0,37,37,0
"Histopathology",5,2,7,0.145942962870145
"Injury_of_testis",1,0,1,0
"Kidney_damage",1,0,1,0
"Lesion",21,18,39,406.590556972533
"Malignant_transformation",2,1,3,0
"Renal_tubular_disorder",4,0,4,0
"Teratogenesis",3,1,4,0.383333333333333
"Toxic_nephropathy",4,1,5,0.35
"genotoxicity",4,0,4,0
"Cadmium_chloride",0,1,1,0
"Caerulein",0,1,1,0
"Caffeine",0,2,2,0
"Calcineurin",0,2,2,0
"Calcineurin_inhibitor",0,4,4,0
"Pain_Disorder",1,0,1,0
"Calcitonin_Gene_Related_Peptide",0,3,3,0
"Calcitriol",0,1,1,0
"Calcium",0,28,28,0
"Contracture",4,0,4,0
"Depressed_mood",16,1,17,2.73343225402049
"Diastasis",11,2,13,52.3333133492774
"Dissociation",12,0,12,0
"Hypercalciuria",2,0,2,0
"Hyperparathyroidism_Secondary",3,0,3,0
"Inactivation",16,2,18,3.22229448880664
"Swelling",7,2,9,104.167102644742
"Tension",7,0,7,0
"Vascular_calcification",2,2,4,0.3
"calcification",3,0,3,0
"Calcium_Chloride",0,1,1,0
"Calcium_ion",0,1,1,0
"Calcium_ionophore_A23187",0,1,1,0
"Calculi",0,2,2,0
"Campylobacter",0,1,1,0
"Campylobacter_jejuni",0,1,1,0
"Cancer_Predisposing_Gene",0,1,1,0
"Cancer_Treatment",0,3,3,0
"Candida_albicans",0,2,2,0
"Candida_species",0,1,1,0
"Candidate_Disease_Gene",0,2,2,0
"Candidatus_Liberibacter_asiaticus",0,1,1,0
"Cannabinoids",0,2,2,0
"Cannulation",0,1,1,0
"Capsaicin",0,6,6,0
"Sensory_denervation_disorder",1,1,2,10.2574052900168
"Captopril",0,1,1,0
"Carbamazepine",0,2,2,0
"Carbamylcholine",0,1,1,0
"Carbohydrates",0,5,5,0
"Carbon_Dioxide",0,2,2,0
"Carbon_Monoxide",0,1,1,0
"Carbon_Monoxide_Poisoning",0,1,1,0
"Carbon_Tetrachloride",0,5,5,0
"Carbon_tetrachloride_homeopathic_preparation",0,2,2,0
"Carboplatin",0,1,1,0
"Carcinogenicity",0,1,1,0
"Carcinogens",0,7,7,0
"adenoma",2,10,12,86.5996382788178
"Carcinoid_Tumor",0,1,1,0
"Carcinoma",1,2,3,0
"Cardiac_Death",2,1,3,0
"Cardiac_Tamponade",1,1,2,0
"Cardiac_embolism",0,1,1,0
"Cardiac_function",0,1,1,0
"Cardiac_resynchronisation_therapy",0,1,1,0
"Cardiac_sarcoidosis",0,1,1,0
"Death_Sudden",14,1,15,0
"Death_Sudden_Cardiac",11,1,12,0
"Shock_Cardiogenic",3,1,4,0
"Ventricular_Dysfunction_Left",7,6,13,99.8074779373147
"Ventricular_arrhythmia",12,1,13,0.412131990638088
"Cardiomyopathies_Primary",0,2,2,0
"Cardiomyopathy_Dilated",5,4,9,160.614225583456
"Chronic_heart_failure",9,2,11,2.65549242424242
"Cardiopulmonary_Arrest",0,1,1,0
"Cardiopulmonary_Bypass",0,5,5,0
"Cardiorespiratory_failure",0,1,1,0
"Cardiovascular_Pathology",0,1,1,0
"Cardiovascular_arteriosclerosis_unspecified",0,1,1,0
"Carotid_Artery_Diseases",0,1,1,0
"Carotid_Artery_Internal_Dissection",0,2,2,0
"Carotid_Atherosclerosis",0,2,2,0
"Carotid_Stenosis",0,2,2,0
"Carotid_artery_dissection",0,1,1,0
"Carpal_Tunnel_Syndrome",0,1,1,0
"Carrageenan",0,6,6,0
"Caseins",0,2,2,0
"Castration",0,1,1,0
"Cataract_Extraction",0,1,1,0
"Catecholamines",0,21,21,0
"Myocardial_necrosis",1,0,1,0
"Neuroendocrine_Tumors",1,2,3,1.41838788146838
"Pheochromocytoma",1,7,8,4.41838788146838
"Tachycardia",10,4,14,23.1821508356209
"myocardium_injury",2,1,3,0.633800682076544
"Catheterization",0,2,2,0
"Catheterization_Central_Venous",0,1,1,0
"Cathodal_opening_clonus",0,1,1,0
"Celiac_Disease",0,2,2,0
"Cell_Adhesion_Molecules",0,2,2,0
"Cell_fusing_agent_virus",0,1,1,0
"Central_venous_catheter",0,2,2,0
"Ceramides",0,2,2,0
"Cerebral_Amyloid_Angiopathy",0,3,3,0
"Cerebral_Edema",3,2,5,642.691732586585
"Cerebral_Ischemia",8,6,14,141.340408858965
"Cerebral_Small_Vessel_Diseases",0,1,1,0
"Cerebral_Vasospasm",1,3,4,0.743589743589744
"Cerebral_herniation",0,1,1,0
"Cerebral_venous_sinus_thrombosis",0,1,1,0
"Cerebrospinal_Fluid",0,4,4,0
"Hydrocephalus",9,3,12,55.9430905778062
"Deglutition_Disorders",11,4,15,124.882822800896
"Disability_neurological",3,0,3,0
"Hemiparesis",3,0,3,0
"Hemiplegia",1,0,1,0
"MOTOR_DEFICIT",2,0,2,0
"Middle_Cerebral_Artery_Occlusion",2,4,6,2.17624782624783
"Movement",7,0,7,0
"Neural_Development",2,0,2,0
"Neurological_morbidity",1,0,1,0
"Paresis",2,0,2,0
"Physical_disability",2,0,2,0
"Recovery",4,0,4,0
"Cervical_Ripening",0,1,1,0
"Cervical_myelopathy",2,1,3,8.9688302124327
"Cesarean_section",0,1,1,0
"Cestoda",0,1,1,0
"Chagas_Cardiomyopathy",0,1,1,0
"Chagas_Disease",0,4,4,0
"Chemicals",0,10,10,0
"Chemokine_C_C_Motif_Ligand_4_CCL4",0,5,5,0
"Chemotherapeutic_agent",0,2,2,0
"Chemotherapy_Oncologic_Procedure",0,1,1,0
"Chest_Pain",6,1,7,8.1946080738103
"Chickenpox",1,2,3,0.0476190476190476
"Chikungunya_virus",0,1,1,0
"Chlamydia",0,1,1,0
"Chlamydia_trachomatis",0,2,2,0
"Chlamydophila_pneumoniae",0,1,1,0
"Chlorine",0,1,1,0
"Chloroform",0,2,2,0
"Chloroquine",0,1,1,0
"Chlorpyrifos",0,2,2,0
"Cholangitis",1,1,2,0
"Cholecalciferol",0,1,1,0
"Cholecystectomy_Laparoscopic",0,1,1,0
"Cholecystokinin",0,1,1,0
"Choledocholithiasis",0,1,1,0
"Cholelithiasis",1,2,3,3.76913711288711
"Cholera",0,1,1,0
"Cholestasis",11,1,12,39.7558743063088
"Cholesteatoma",0,1,1,0
"Cholesterol",0,12,12,0
"Atherogenesis",2,0,2,0
"Fatty_Streak_Arterial",2,0,2,0
"Hyperlipidemia",10,6,16,35.4472335236165
"hypercholesterolemia",5,7,12,3.52521770878548
"Cholesterol_Dietary",0,1,1,0
"Cholesterol_crystals",0,1,1,0
"Chondrectomy_of_semilunar_cartilage_of_knee",0,1,1,0
"Chromosomal_translocation",0,1,1,0
"Chromosome_abnormality",2,2,4,0
"Chronic_Childhood_Arthritis",0,1,1,0
"Chronic_Kidney_Diseases",15,5,20,8775.69191034487
"Kidney_Failure_Chronic",35,16,51,23539.690338647
"Chronic_Lymphocytic_Leukemia",0,1,1,0
"Chronic_Stress",0,5,5,0
"Chronic_cerebral_ischemia",0,1,1,0
"Chronic_disease_of_respiratory_system",0,1,1,0
"Chronic_failure",0,1,1,0
"Chronic_glomerulonephritis_NOS",0,2,2,0
"Chronic_graft_versus_host_disease",0,1,1,0
"Chronic_infectious_disease",2,5,7,0.0153846153846154
"Fibrosis_Liver",14,2,16,61.1602716605472
"Inflammatory_Bowel_Diseases",14,4,18,100.674021162046
"Metabolic_Diseases",18,6,24,227.934824888249
"Rheumatoid_Arthritis",11,9,20,365.599906529603
"Chronic_inflammatory_disorder",1,9,10,30.6108166511999
"Chronic_liver_disease_NOS",5,3,8,3.71759511932221
"Chronic_low_back_pain",0,1,1,0
"Chronic_lung_disease",1,2,3,35.3395420717614
"Chronic_metabolic_disorder",0,1,1,0
"Chronic_pain",9,1,10,3.9613229545605
"Chronic_rejection_of_renal_transplant",0,1,1,0
"Chymosin_REN",0,1,1,0
"Cicatrix",1,5,6,0
"Cigarette_smoke",0,9,9,0
"Cirrhosis",3,1,4,0.0232558139534884
"Cisplatin",0,14,14,0
"Renal_Insufficiency",6,2,8,2.57247436603392
"Citrobacter_rodentium",0,1,1,0
"Clamp",0,1,1,0
"Classical_swine_fever_virus",0,1,1,0
"Clenbuterol",0,1,1,0
"Clip",0,2,2,0
"Hypertension_Renovascular",6,2,8,3.6
"Clipping",0,1,1,0
"Clonidine",0,4,4,0
"Clostridium",0,1,1,0
"Clostridium_difficile",0,1,1,0
"Clostridium_difficile_infection",0,1,1,0
"Clostridium_perfringens",0,1,1,0
"Closure_by_clamp",0,8,8,0
"Hepatic_ischaemia",1,0,1,0
"Renal_ischaemia",1,2,3,0
"Spinal_Cord_Ischemia",2,0,2,0
"Warm_Ischemia",1,0,1,0
"Clozapine",0,3,3,0
"Coagulation_procedure",0,3,3,0
"Cocaine",0,30,30,0
"Convulsions",5,1,6,0.197655494911592
"Coronary_Artery_Vasospasm",2,6,8,7.00740881861591
"Euphoria",3,0,3,0
"Hyperactive_behavior",9,1,10,19.2123007600112
"Paranoia",1,0,1,0
"Rhabdomyolysis",6,3,9,0.758413489224404
"Stereotyped_Behavior",2,0,2,0
"Vasculitis",5,12,17,426.379527843836
"Coccidia",0,1,1,0
"Coccidioides",0,1,1,0
"Codon_Nonsense",0,1,1,0
"Colchicine",0,2,2,0
"Cold_injury",0,1,1,0
"Colforsin",0,1,1,0
"Collagen",0,3,3,0
"Stiffness",6,2,8,61.2269987789259
"Colletotrichum",0,1,1,0
"Colletotrichum_gloeosporioides",0,1,1,0
"Combined_Modality_Therapy",0,1,1,0
"Community_acquired_pneumonia",0,2,2,0
"Comorbidity",0,1,1,0
"Compartment_syndromes",4,1,5,23.8694163463242
"Complement_Membrane_Attack_Complex_C5",0,2,2,0
"Complement_System_Proteins",0,5,5,0
"Birth",3,0,3,0
"Deep_Vein_Thrombosis",3,4,7,131.29971917166
"Low_Vision",3,1,4,9.59372116443195
"Vision",4,0,4,0
"Wound_Healing",10,0,10,0
"Complication_hemorrhage",0,1,1,0
"Complication_infection",0,1,1,0
"Compound_48_80",0,1,1,0
"Compression",0,1,1,0
"Compression_procedure",0,26,26,0
"Heart_Arrest",12,2,14,8.74169222110079
"Jaundice_Obstructive",6,0,6,0
"Paraplegia",4,0,4,0
"Spinal_Cord_Diseases",2,0,2,0
"Trigeminal_Neuralgia",2,0,2,0
"Concanavalin_A",0,2,2,0
"Concretion_of_intestine",0,1,1,0
"Congenital_Disorders",2,0,2,0
"Congenital_heart_disease",3,3,6,1.77446370202758
"Cretinism",2,0,2,0
"Degenerative_polyarthritis",19,6,25,397.65392031573
"Drug_Resistant_Epilepsy",1,0,1,0
"Hereditary_Diseases",8,10,18,63.9378854272219
"Hernia",4,5,9,76.893858084854
"Infertility_Male",6,0,6,0
"Intestinal_Obstruction",8,2,10,29.4893205349597
"Lysosomal_Storage_Diseases",3,0,3,0
"Mitochondrial_Diseases",4,0,4,0
"Primary_immune_deficiency_disorder",2,0,2,0
"Spontaneous_abortion",1,1,2,1.49493464052288
"nervous_system_disorder",10,5,15,88.4166000366613
"Congenital_Heart_Defects",1,1,2,0.278772378516624
"Congenital_anomaly_of_the_urinary_tract",0,1,1,0
"Pleural_effusion_disorder",3,0,3,0
"effusion",1,0,1,0
"Conn_Adenoma",0,1,1,0
"Endocrine_hypertension",1,0,1,0
"Connective_Tissue_Diseases",1,1,2,0.416666666666667
"Connexins",0,1,1,0
"Constituents",0,4,4,0
"Constriction_procedure",0,12,12,0
"Right_ventricular_failure",3,1,4,0.125
"Contact_Lenses",0,1,1,0
"Contaminant",0,2,2,0
"Contraceptives_Oral",0,2,2,0
"Muscular_Dystrophy_Facioscapulohumeral",1,0,1,0
"Spastic_syndrome",3,8,11,787.930013694426
"Urination",1,0,1,0
"Contrast_Media",0,8,8,0
"Copper",0,17,17,0
"Hepatolenticular_Degeneration",3,0,3,0
"hemolysis",3,0,3,0
"Copy_Number_Polymorphism",0,1,1,0
"Cor_pulmonale",0,1,1,0
"Angina_Pectoris",2,0,2,0
"Mitral_Valve_Insufficiency",9,3,12,159.663125469532
"Tachycardia_Ventricular",8,2,10,12.057418371354
"Coronary_Artery_Bypass_Surgery",0,1,1,0
"Coronary_Artery_Dissection_Spontaneous",0,1,1,0
"Coronary_Occlusion",0,6,6,0
"Coronary_Stenosis",1,3,4,9.78304001554002
"Coronary_Thrombosis",0,1,1,0
"Coronary_angiography",0,1,1,0
"Coronary_artery_embolism",0,1,1,0
"Coronavirus_Feline",0,1,1,0
"Corticosterone",0,11,11,0
"Depressive_disorder",14,1,15,114.148084978445
"Corticotropin_POMC",0,3,3,0
"Corticotropin_Releasing_Hormone",0,1,1,0
"Cosmetic_procedure",0,2,2,0
"Coughing",1,2,3,0
"Coxiella_burnetii",0,1,1,0
"Coxsackie_Viruses",0,1,1,0
"Craniocerebral_Trauma",0,4,4,0
"Crohn_s_disease",1,3,4,5.52659999261712
"Crosstalk",0,1,1,0
"Croton_Oil",0,2,2,0
"Crush_syndrome",0,1,1,0
"Cryptococcus",0,1,1,0
"Cryptococcus_neoformans",0,1,1,0
"Cryptosporidium",0,1,1,0
"Cryptosporidium_parvum",0,1,1,0
"Crystal_Structure",0,1,1,0
"Crystal_human_material",0,1,1,0
"Culicidae",0,1,1,0
"Culture_Media_Conditioned",0,1,1,0
"Curcumin",0,1,1,0
"Current_Therapy",0,1,1,0
"Cyanides",0,2,2,0
"Cyclooxygenase_2_Inhibitors",0,1,1,0
"Cyclophosphamide",0,8,8,0
"Cyclosporine",0,34,34,0
"Gingival_Hyperplasia",1,0,1,0
"Gingival_Overgrowth",3,0,3,0
"Graft_vs_Host_Disease",5,1,6,0.124150849150849
"Hemolytic_Uremic_Syndrome",3,4,7,0.622735760971055
"Renal_impairment",2,0,2,0
"UNRESPONSIVENESS",1,0,1,0
"Cystic_Fibrosis",4,3,7,17.2255614396981
"Cystic_kidney",1,1,2,0.0588235294117647
"Cytarabine",0,1,1,0
"Cytochrome_P450",0,1,1,0
"Cytomegalovirus",0,5,5,0
"Cytomegalovirus_Infections",0,2,2,0
"Cytotoxic_agent",0,2,2,0
"DELETION",1,3,4,0
"DHPS_gene_DHPS",0,1,1,0
"DNA",0,11,11,0
"DNA_Methylation",0,1,1,0
"DNA_Mitochondrial",0,12,12,0
"Mitochondrial_Myopathies",2,0,2,0
"Optic_Atrophy_Hereditary_Leber",2,0,2,0
"hearing_impairment",8,0,8,0
"DNA_Repair",0,1,1,0
"DNA_Sequence",0,3,3,0
"Mutation",2,415,417,819.827200577201
"DNA_Viruses",0,1,1,0
"DOCA",0,1,1,0
"D_Aspartate",0,1,1,0
"D_Pulmonary_hemorrhage",0,1,1,0
"D_Respiratory_arrest",0,1,1,0
"Daunorubicin",0,1,1,0
"Debris",0,2,2,0
"Decapitation",0,1,1,0
"Deceleration",0,1,1,0
"Decrease_in_appetite",0,1,1,0
"Deep_Brain_Stimulation",0,1,1,0
"Movement_Disorders",6,0,6,0
"Muscular_Atrophy",15,0,15,0
"Sensorineural_Hearing_Loss",4,0,4,0
"Spinal_Muscular_Atrophy",3,2,5,0.314705882352941
"Spinal_Stenosis",1,2,3,3.57879567943221
"Degenerative_disc_disease_NOS",0,1,1,0
"Degenerative_disorder",2,2,4,4.60908485186535
"Dehydration",5,4,9,7.4502361865221
"Demyelinating_Diseases",0,1,1,0
"Demyelination",7,1,8,0
"Denervation",0,7,7,0
"Dengue_Virus",0,1,1,0
"Deoxycorticosterone",0,1,1,0
"Dermatitis_Atopic",4,2,6,12.2590448348319
"Destructive_procedure_surgical",0,1,1,0
"Detection",0,1,1,0
"Deterioration",0,4,4,0
"Bone_fragile",1,0,1,0
"Deviated_nasal_septum",0,1,1,0
"Dexamethasone",0,24,24,0
"Cleft_Palate",5,0,5,0
"Muscle_fiber_atrophy",1,0,1,0
"osteoblast_differentiation",1,0,1,0
"Dexmedetomidine",0,1,1,0
"Dextran",0,2,2,0
"Dextran_Sulfate",0,2,2,0
"Dextran_Sulfate_Sodium",0,6,6,0
"Dhori_virus",0,1,1,0
"Diabetes_Mellitus_Insulin_Dependent",13,6,19,19.0205144497505
"Diabetic_Nephropathy",14,9,23,522.893139234515
"Diabetic_Neuropathies",4,0,4,0
"Diabetic_Retinopathy",8,0,8,0
"Dyslipidemias",7,6,13,3.01408797334853
"Embryopathies",1,0,1,0
"Foot_Ulcer",2,0,2,0
"Myocardial_dysfunction",8,2,10,4.98596673042674
"Neuropathic_pain",5,0,5,0
"Pain",22,8,30,2544.04136503443
"Renal_glomerular_disease",1,4,5,1.98293650793651
"Retinal_Diseases",9,1,10,1.65354964952488
"Retinal_damage",3,0,3,0
"Testicular_dysfunction",1,0,1,0
"Diabetes_Gestational",3,3,6,8.25909774017159
"Autonomic_neuropathy",1,0,1,0
"Diabetic_Cardiomyopathies",2,2,4,1.87957112332112
"Diagnostic_radiologic_examination",0,1,1,0
"Diagnostic_tests",0,2,2,0
"Dialysis_procedure",0,3,3,0
"Diamide",0,1,1,0
"Diarrhea",8,5,13,162.575144239531
"Diarrhea_Viruses_Bovine_Viral",0,1,1,0
"Diarrheal_disorder",0,1,1,0
"Diastolic_dysfunction",2,2,4,4.17027417027417
"Diazepam",0,2,2,0
"Diazinon",0,2,2,0
"Dibutyl_Phthalate",0,2,2,0
"Dichlorvos",0,1,1,0
"Diclofenac",0,3,3,0
"Did_not_receive_therapy_or_drug_for",0,1,1,0
"Diet",0,101,101,0
"Animal_Disease_Models",3,0,3,0
"Cholesterol_gallstones",1,0,1,0
"Colorectal_Cancer",2,0,2,0
"Dental_caries",2,0,2,0
"Dysbiosis",4,1,5,0
"Fatty_Liver",11,3,14,51.5301882115812
"Fatty_Liver_Disease",3,0,3,0
"Fatty_degeneration",6,0,6,0
"Fatty_deposition",3,2,5,0
"Glucose_Intolerance",5,0,5,0
"Growth_retardation",7,0,7,0
"Hepatocarcinogenesis",1,0,1,0
"Hyperhomocysteinemia",3,4,7,4.06804073543204
"Hyperinsulinism",12,8,20,3166.5570211004
"Hyperphagia",3,1,4,0
"Hyperuricemia",8,5,13,2771.67000980356
"Iron_deficiency",3,2,5,14.5057423735554
"Iron_deficiency_anemia",3,0,3,0
"Ketosis",1,0,1,0
"Liver_Cirrhosis",7,2,9,2.82371613245541
"Liver_diseases",14,4,18,21.9959628979901
"METABOLIC_DISTURBANCE",3,1,4,0
"Malignant_neoplasm_of_breast",9,4,13,6.27527553000819
"Malignant_tumor_of_colon",1,0,1,0
"Metabolic_acidosis",1,1,2,0.024390243902439
"Non_alcoholic_Fatty_Liver_Disease",10,4,14,170.982542322802
"Nonalcoholic_Steatohepatitis",3,1,4,25.2292607913585
"Prediabetes_syndrome",1,0,1,0
"Rodent_Model",1,0,1,0
"Steatohepatitis",2,0,2,0
"Steatohepatitis_non_alcoholic",1,1,2,0
"Vitamin_D_Deficiency",1,10,11,3.64285714285714
"impaired_glucose_tolerance",2,0,2,0
"insulin_sensitivity",3,1,4,0
"Diet_High_Fat",1,41,42,25.7520457724444
"Lipid_Metabolism_Disorders",1,0,1,0
"Diet_Protein_Restricted",0,2,2,0
"Fetal_Growth_Retardation",15,3,18,1981.23188896948
"Diet_Western",0,1,1,0
"Dietary_Fats",0,2,2,0
"Dietary_Supplements",0,1,1,0
"Dietary_restriction_NOS",0,1,1,0
"Diethylhexyl_Phthalate",0,3,3,0
"Diethylnitrosamine",0,6,6,0
"Diethylstilbestrol",0,2,2,0
"Differential_Diagnosis",0,2,2,0
"Diffusion",0,1,1,0
"Digoxin",0,1,1,0
"Dihydroxycholecalciferols",0,1,1,0
"Diltiazem",0,1,1,0
"Dimethoate",0,1,1,0
"Dimethylnitrosamine",0,3,3,0
"Dinitrochlorobenzene",0,1,1,0
"Dinoprost",0,1,1,0
"Dinoprostone",0,4,4,0
"Dioxins",0,2,2,0
"Diphosphonates",0,1,1,0
"Dipyridamole",0,3,3,0
"Diquat",0,1,1,0
"Direct_Lytic_Factors",0,1,1,0
"Direct_trauma",0,1,1,0
"Disasters",0,1,1,0
"Discharge_Body_Substance",0,4,4,0
"Abdomen_Acute",1,0,1,0
"Acute_abdominal_pain",1,0,1,0
"Acute_onset_pain",3,0,3,0
"Anemia_Hemolytic",4,0,4,0
"Arthralgia",1,0,1,0
"BONE_MASS",3,0,3,0
"Back_Pain",2,0,2,0
"Bronchiectasis",2,0,2,0
"Bulla",3,0,3,0
"Catabolism",4,0,4,0
"Chronic_cough",2,0,2,0
"Chronic_diarrhea",1,0,1,0
"Claudication",3,0,3,0
"Conductive_hearing_loss",1,0,1,0
"Constipation",2,0,2,0
"Consultation",3,0,3,0
"Cytopenia",3,0,3,0
"Deafness",5,0,5,0
"Discomfort",2,0,2,0
"Disease_Progression",5,2,7,2.9657080445943
"Disintegration",2,0,2,0
"Disseminated_Intravascular_Coagulation",3,3,6,0.638642246450702
"Dizziness",3,1,4,0
"Dystonia",4,0,4,0
"End_stage_liver_disease",1,1,2,0
"Eosinophilia",4,1,5,0.324542124542125
"Equilibrium",2,0,2,0
"Exanthema",4,1,5,0.206349206349206
"Fatal_Outcome",3,0,3,0
"Female_infertility",1,0,1,0
"Fertility",1,0,1,0
"Fetal_Death",2,3,5,90.2863051938128
"Fever_of_Unknown_Origin",1,0,1,0
"Fluctuation",5,2,7,0.45
"Gangrene",4,0,4,0
"Glomerulonephritis",2,5,7,0.761111111111111
"Health_Care",2,0,2,0
"Hemoptysis",1,1,2,0
"Hemorrhage",5,15,20,4486.49066294531
"Homeostasis",4,0,4,0
"Hyperammonemia",1,1,2,0
"Hypercapnic_respiratory_failure",1,1,2,0
"Hyperparathyroidism_Primary",3,1,4,4.27490842490843
"Hypertension_Portal",5,2,7,5.16964088072834
"Hypothyroidism",3,3,6,0.0832137733142037
"Icterus",2,0,2,0
"Immune_System_Diseases",6,3,9,178.940832907546
"Immune_response",8,0,8,0
"Immunologic_Deficiency_Syndromes",6,1,7,0
"Infarction_Lacunar",2,1,3,0
"Infectious_bovine_keratoconjunctivitis",1,0,1,0
"Inflammatory_disorder",10,7,17,113.275845833054
"Influenza",2,7,9,0.2682668208984
"Intermittent_Claudication",2,0,2,0
"Introduction_procedure",1,0,1,0
"Iron_Overload",4,7,11,1.3187524105374
"Little_s_Disease",3,2,5,0.0346027846027846
"Liver_Dysfunction",5,0,5,0
"Liver_Failure",7,1,8,0.17212923443063
"Liver_Failure_Acute",7,2,9,23.266347828525
"Low_Back_Pain",3,0,3,0
"Lupus_Erythematosus_Systemic",8,5,13,1.87534835517024
"Lymphatic_Diseases",1,1,2,0
"Lymphohistiocytosis_Hemophagocytic",2,1,3,0.0147058823529412
"Metabolism",4,0,4,0
"Multiple_Sclerosis",10,8,18,167.982622271755
"Nausea",4,0,4,0
"Neuralgia",2,0,2,0
"Neutropenia",4,2,6,0.262548657304755
"Nodule",1,0,1,0
"Organ_failure",2,1,3,0
"Osteomyelitis",4,1,5,0
"Pancreatitis_Chronic",3,5,8,64.3225916145213
"Pancytopenia",4,2,6,0.270390883626178
"Parkinsonian_Disorders",7,1,8,0
"Pathogenesis",16,6,22,681.867132982826
"Pelvic_Pain",1,0,1,0
"Physical_findings",4,4,8,6.56533676073062
"Procedures",3,2,5,2.36848242622992
"Pruritus",4,0,4,0
"Psoriasis",8,2,10,33.6479008413875
"Pulmonary_arterial_hypertension",3,2,5,0.389705882352941
"Respiratory_Insufficiency",1,1,2,0
"Retinal_Degeneration",4,1,5,0.032563025210084
"Screening_procedure",2,0,2,0
"Severe_pain",2,0,2,0
"Severe_visual_impairment",1,0,1,0
"Shoulder_Pain",1,0,1,0
"Skin_lesion",1,0,1,0
"Sleep_disturbances",3,0,3,0
"Sleeplessness",2,0,2,0
"Sterility",3,0,3,0
"Superficial_ulcer",1,0,1,0
"Syncope",5,2,7,91.2220089440144
"Systemic_disease",3,5,8,0.324598319014888
"Thromboembolism",3,6,9,16.7195106372317
"Tinnitus",4,0,4,0
"Tooth_Loss",2,0,2,0
"Transient_Ischemic_Attack",4,0,4,0
"Tuberculosis",3,8,11,139.83662859856
"Urinary_tract_obstruction",1,3,4,0
"Uveitis",5,2,7,2.45153745336875
"Vertigo",1,0,1,0
"Vomiting",6,3,9,673.634731161905
