"node","in_degree","out_degree","total_degree","betweenness","is_generic"
"Ischemic_stroke",29,6,35,776.618729623041,FALSE
"Premature_Birth",15,5,20,775.788852559547,FALSE
"Brain_Edema",10,2,12,685.103512223827,FALSE
"Pathogenesis",16,6,22,681.867132982826,FALSE
"Vomiting",6,3,9,673.634731161905,FALSE
"Brain_Injuries",15,11,26,667.619977894378,FALSE
"Memory_impairment",25,1,26,655.543490175975,FALSE
"Cardiac_Hypertrophy",24,1,25,644.680688589757,FALSE
"Cerebral_Edema",3,2,5,642.691732586585,FALSE
"Hypertrophic_Cardiomyopathy",6,6,12,639.853375972397,FALSE
"Dissection_of_aorta",2,4,6,618.309495010662,FALSE
"Respiratory_Distress_Syndrome_Adult",11,4,15,615.370641182936,FALSE
"Stress",31,18,49,610.963704402144,FALSE
"Renal_infarction",1,1,2,608,FALSE
"Fluid_overload",1,2,3,608,FALSE
"Dyspnea",5,3,8,601.455128205128,FALSE
"Diabetic_Nephropathy",14,9,23,522.893139234515,FALSE
"Aortic_Valve_Stenosis",1,4,5,515.045888670774,FALSE
"Malignant_Neoplasms",28,10,38,512.387480545737,FALSE
"Intussusception",2,1,3,509.970031619709,FALSE
"Adhesions",15,7,22,494.58093205513,FALSE
"Metabolic_syndrome",10,13,23,453.61862074536,FALSE
"Vasodilation_disorder",9,1,10,441.116977735748,FALSE
"Vasculitis",5,12,17,426.379527843836,FALSE
"Lesion",21,18,39,406.590556972533,FALSE
"Degenerative_polyarthritis",19,6,25,397.65392031573,FALSE
"Rheumatoid_Arthritis",11,9,20,365.599906529603,FALSE
"Communicable_Diseases",6,10,16,355.954917236764,FALSE
"Migraine_Disorders",8,4,12,325.561448144926,FALSE
"Abnormal_renal_function",15,1,16,264.200189789213,FALSE
"cytotoxicity",33,1,34,258.202468751466,FALSE
"Decreased_Immunologic_Activity_PE",4,1,5,233.045130187636,FALSE
"Metabolic_Diseases",18,6,24,227.934824888249,FALSE
"Autoimmune_Diseases",18,10,28,220.803763580115,FALSE
"Lung_diseases",8,4,12,216.352524719692,FALSE
"Chronic_Disease",10,9,19,213.119097407771,FALSE
"Virus_Diseases",7,12,19,212.871371692035,FALSE
"Epilepsy",23,7,30,210.013152650911,FALSE
"Immune_System_Diseases",6,3,9,178.940832907546,FALSE
"hypoglycemia",14,5,19,178.927860114701,FALSE
"Non_alcoholic_Fatty_Liver_Disease",10,4,14,170.982542322802,FALSE
"Multiple_Sclerosis",10,8,18,167.982622271755,FALSE
