"node","in_degree","out_degree","total_degree","betweenness","is_exposure","is_outcome","in_scc"
"Abuse",0,0,0,0,FALSE,FALSE,FALSE
"Acanthamoeba",0,0,0,0,FALSE,FALSE,FALSE
"Accidents",0,0,0,0,FALSE,FALSE,FALSE
"Accumulation",11,5,16,3.81690225842679e-06,FALSE,FALSE,FALSE
"Chronic_inflammation",28,17,45,0.000142332259486959,FALSE,FALSE,TRUE
"Edema",67,4,71,0.000697273302885915,FALSE,FALSE,TRUE
"Insulin_Resistance",68,21,89,0.00111400941659932,FALSE,FALSE,TRUE
"Acetaldehyde",0,1,1,0,FALSE,FALSE,FALSE
"Acetaminophen",0,3,3,0,FALSE,FALSE,FALSE
"Acetate",0,3,3,0,FALSE,FALSE,FALSE
"Hypertensive",6,0,6,0,FALSE,FALSE,FALSE
"Acetic_Acid",0,2,2,0,FALSE,FALSE,FALSE
"Acetylcholine",0,5,5,0,FALSE,FALSE,FALSE
"Pathological_Dilatation",21,8,29,0.000515515457252359,FALSE,FALSE,TRUE
"Vasodilation_disorder",7,1,8,4.676018482214e-05,FALSE,FALSE,FALSE
"Vasospasm",13,12,25,4.97380200086682e-05,FALSE,FALSE,TRUE
"Acetylcholinesterase",0,1,1,0,FALSE,FALSE,FALSE
"Acetylmuramyl_Alanyl_Isoglutamine",0,1,1,0,FALSE,FALSE,FALSE
"Acidosis",2,1,3,1.98751238021462e-09,FALSE,FALSE,FALSE
"Acids",0,6,6,0,FALSE,FALSE,FALSE
"Kidney_Diseases",30,13,43,0.000455247603949649,FALSE,FALSE,TRUE
"Acne",1,2,3,5.13921013713994e-06,FALSE,FALSE,FALSE
"Aconitine",0,2,2,0,FALSE,FALSE,FALSE
"cardiac_arrhythmia",46,8,54,0.000632228949138676,FALSE,FALSE,TRUE
"Acquired_Immunodeficiency_Syndrome",1,2,3,9.83524889731239e-08,FALSE,FALSE,FALSE
"Acquired_hypothyroidism_NOS",0,1,1,0,FALSE,FALSE,FALSE
"Acrolein",0,3,3,0,FALSE,FALSE,FALSE
"Acrylamide",0,4,4,0,FALSE,FALSE,FALSE
"Acrylonitrile",0,2,2,0,FALSE,FALSE,FALSE
"Acute_Disease",0,1,1,0,FALSE,FALSE,FALSE
"Acute_Ischemic_Stroke",0,1,1,0,FALSE,FALSE,FALSE
"Acute_Lung_Injury",2,2,4,2.31876444358372e-08,FALSE,FALSE,FALSE
"Pulmonary_Edema",19,2,21,2.5808240980808e-05,FALSE,FALSE,FALSE
"Acute_Phase_Proteins",0,1,1,0,FALSE,FALSE,FALSE
"Acute_Tubulointerstitial_Nephritis",0,1,1,0,FALSE,FALSE,FALSE
"Acute_bronchiolitis_NOS",0,1,1,0,FALSE,FALSE,FALSE
"Hospitalization",69,0,69,0,FALSE,FALSE,FALSE
"Acute_chest_syndrome",0,1,1,0,FALSE,FALSE,FALSE
"Acute_coronary_syndrome",4,2,6,1.1129649474769e-06,FALSE,FALSE,FALSE
"Acute_decompensated_heart_failure",0,1,1,0,FALSE,FALSE,FALSE
"Acute_diarrhea",0,1,1,0,FALSE,FALSE,FALSE
"Acute_failure",0,1,1,0,FALSE,FALSE,FALSE
