"metric","value"
"Pruned Nodes","3793"
"Pruned Edges","7964"
"Pruned Density","0.000554"
"Nodes Removed","19"
"Edges Removed","4193"
"SCCs With Cycles","4"
"Nodes in SCCs","207"
"Largest SCC","192"
"Is DAG","NO"
"Top Node by Degree","Cessation_of_life"
"Top Node by Betweenness","Inflammation"
