from,to
Diabetes,Alzheimers
Diabetes,Hyperglycemia
Diabetes,Hypertension
Diabetes_Mellitus_Non_Insulin_Dependent,Alzheimers
Diabetes_Mellitus_Non_Insulin_Dependent,Hyperglycemia
Hypertension,Alzheimers
Hypertension,Diabetes
Hypertension,Diabetes_Mellitus_Non_Insulin_Dependent
Hyperglycemia,Diabetes
Hyperglycemia,Hypertension
