"metric","value"
"Original nodes","960"
"Original edges","1865"
"Reduced nodes","951"
"Reduced edges","1286"
"Nodes removed","9"
"Total cycles","128"
"Nodes in cycles","25"
"SCCs with cycles","2"
"Is DAG","NO"
