"Node","In_Degree","Out_Degree","Total_Degree","Betweenness","semtype","cui"
"Atrial_Fibrillation",15,11,26,0.000990949409367062,NA,"C0004238"
"Arteriosclerosis",15,11,26,0.000388922461021879,NA,"C0003850"
"Cocaine",0,26,26,0,NA,"C0009170"
"Pregnancy",25,0,25,0,NA,"C0032961"
"Vasospasm",13,12,25,4.97380200086682e-05,NA,"C0085616"
"Septicemia",13,12,25,8.44425558446639e-05,NA,"C0036690"
"depolarization",24,1,25,2.34606339059342e-07,NA,"C1395184"
"Antioxidants",0,25,25,0,NA,"C0003402"
"Calcium",0,25,25,0,NA,"C0006675"
"Nicotine",0,25,25,0,NA,"C0028040"
"Norepinephrine",0,25,25,0,NA,"C0028351"
"Memory_impairment",23,1,24,9.61294480243446e-05,NA,"C0233794"
"Rare_Diseases",16,8,24,0.000278092615977129,NA,"C0678236"
"Stenosis",11,13,24,0.000562216631920996,NA,"C1261287"
"Lipids",0,24,24,0,NA,"C0023779"
"Sodium_Chloride",0,24,24,0,NA,"C0037494"
"Neoplasm_Metastasis",12,11,23,0.000219953387051905,NA,"C0027627"
"Pancreatitis",17,6,23,0.000284067256550223,NA,"C0030305"
"Anemia",20,3,23,0.000330878535901591,NA,"C0002871"
"Pre_Eclampsia",14,9,23,0.000207599357855085,NA,"C0032914"
"Cardiac_Hypertrophy",22,1,23,3.4820965241939e-05,NA,"C1383860"
"Heart_Diseases",10,13,23,9.31789569467537e-05,NA,"C0018799"
"Epinephrine",0,23,23,0,NA,"C0014563"
"Ions",0,23,23,0,NA,"C0022023"
"Water",0,23,23,0,NA,"C0043047"
"Labor_Childbirth",22,0,22,0,NA,"C0022864"
"Dexamethasone",0,22,22,0,NA,"C0011777"
"Diabetic_Nephropathy",13,9,22,8.99150658092417e-05,NA,"C0011881"
"APP_gene",0,21,21,0,NA,"C1364818"
"Pulmonary_Edema",19,2,21,2.5808240980808e-05,NA,"C0034063"
"Vasodilation",21,0,21,0,NA,"C0042401"
"Shock",17,4,21,0.000170482920728813,NA,"C0036974"
"Sleep_Apnea_Obstructive",9,12,21,0.000722790528948107,NA,"C0520679"
"Traumatic_Brain_Injury",4,17,21,8.3130250495606e-05,NA,"C0876926"
"Compression_procedure",0,21,21,0,NA,"C0565514"
"Enzymes",0,21,21,0,NA,"C0014442"
"Excision",0,21,21,0,NA,"C0728940"
"Hospital_admission",20,0,20,0,NA,"C0184666"
"Asthma",15,5,20,2.61592952744466e-05,NA,"C0004096"
"Seizures",18,2,20,3.38194766372987e-06,NA,"C0036572"
"Metabolic_Diseases",16,4,20,5.60773050644413e-05,NA,"C0025517"
"Pain",16,4,20,1.98872601919562e-05,NA,"C0030193"
"Dopamine",0,20,20,0,NA,"C0013030"
"Free_Radicals",0,20,20,0,NA,"C0016693"
"Adrenal_Cortex_Hormones",0,19,19,0,NA,"C0001617"
"Necrosis",17,2,19,6.28280534088392e-07,NA,"C0027540"
"Brain_Injuries",13,6,19,6.77075482609967e-05,NA,"C0270611"
"Chronic_Kidney_Diseases",14,5,19,0.000750733414700502,NA,"C1561643"
"Hyperinsulinism",11,8,19,0.000256479533013224,NA,"C0020459"
"Steroids",0,19,19,0,NA,"C0038317"
"cell_injury",18,0,18,0,NA,"C0599732"
"Osteoporosis",17,1,18,1.3263823136793e-06,NA,"C0029456"
"Amyloidosis",10,8,18,0.000202983009039643,NA,"C0002726"
"Headache",15,3,18,0.000330392492329334,NA,"C0018681"
"DNA_Damage",18,0,18,0,NA,"C0012860"
"Metabolic_syndrome",8,10,18,6.90943792741166e-05,NA,"C0948265"
"Stenosis_unspecified",5,13,18,0.000487610868007234,NA,"C0947637"
"Premature_Birth",13,5,18,0.000134304613748169,NA,"C0151526"
"Epilepsy",16,2,18,3.56066803384857e-06,NA,"C0014544"
"Catecholamines",0,18,18,0,NA,"C0007412"
"Degenerative_polyarthritis",14,4,18,0.000101896649048382,NA,"C0029408"
"homocysteine",0,18,18,0,NA,"C0019878"
"Proteinuria",15,2,17,0.000174983062049031,NA,"C0033687"
"Amyloid",0,17,17,0,NA,"C0002716"
"Glucose",0,17,17,0,NA,"C0017725"
"gene_therapy",0,17,17,0,NA,"C0017296"
"Accumulation",11,5,16,3.81690225842679e-06,NA,"C4055506"
"Hypersensitivity",15,1,16,4.62977740304387e-07,NA,"C0020517"
"Autoimmune_Diseases",11,5,16,3.3527932294219e-05,NA,"C0004364"
"Fetal_Growth_Retardation",13,3,16,0.000128080462282113,NA,"C0015934"
"Isoproterenol",0,16,16,0,NA,"C0022245"
"Liver_damage",15,0,15,0,NA,"C0151763"
"Pneumonia",8,7,15,0.000299883351809575,NA,"C0032285"
"Amyloid_beta_Peptides",0,15,15,0,NA,"C0078939"
"Exocytosis",15,0,15,0,NA,"C0015283"
"Chronic_Obstructive_Airway_Disease",9,6,15,3.86281486549548e-05,NA,"C0024117"
"Depressed_mood",14,1,15,2.40795155216052e-07,NA,"C0344315"
"Tissue_damage",11,3,14,1.03141294783559e-06,NA,"C0010957"
"Aldosterone",0,14,14,0,NA,"C0002006"
"Encephalopathies",13,1,14,5.3755311389677e-07,NA,"C0085584"
"Androgens",0,14,14,0,NA,"C0002844"
"Falls",13,1,14,2.47088944420065e-07,NA,"C0085639"
"Vascular_Diseases",8,6,14,6.87693340549926e-06,NA,"C0042373"
"Erectile_dysfunction",14,0,14,0,NA,"C0242350"
"Blind_Vision",13,1,14,7.04082257096574e-08,NA,"C0456909"
"Rheumatoid_Arthritis",8,6,14,0.000197101954077969,NA,"C0003873"
"Copper",0,14,14,0,NA,"C0009968"
"Pathogenesis",10,4,14,4.49199422677874e-05,NA,"C0699748"
"Embolism",2,12,14,0.000232974788207588,NA,"C0013922"
"Adhesions",11,2,13,2.16969068073833e-05,NA,"C0001511"
"loss_bone",13,0,13,0,NA,"C0599877"
"Cell_Proliferation",13,0,13,0,NA,"C0596290"
"Ventricular_Dysfunction_Left",7,6,13,1.97899425750112e-05,NA,"C0242698"
"Hyperlipidemia",8,5,13,1.35795913882149e-05,NA,"C0020473"
