"Node","In_Degree","Out_Degree","Total_Degree","Betweenness","semtype","cui"
"Vaccines",0,6,6,0,NA,"C0042210"
"Venoms",0,6,6,0,NA,"C0042479"
"aluminum_chloride",0,6,6,0,NA,"C0102840"
"1_4_dioxin",0,5,5,0,NA,"C0619285"
"1_Methyl_4_phenyl_1_2_3_6_tetrahydropyridine",0,5,5,0,NA,"C0000097"
"2019_novel_coronavirus",0,5,5,0,NA,"C5203676"
"COGNITIVE_DEFICIT",5,0,5,0,NA,"C0679466"
"Chromosome_Pairing",5,0,5,0,NA,"C0598501"
"Abnormality_of_mitochondrial_metabolism",4,1,5,0,NA,"C4021734"
"Acetylcholine",0,5,5,0,NA,"C0001041"
"Adenosine",0,5,5,0,NA,"C0001443"
"Immune_Tolerance",5,0,5,0,NA,"C0020963"
"Bone_necrosis",5,0,5,0,NA,"C0029445"
"Intraocular_pressure_disorder",3,2,5,2.74876050126645e-07,NA,"C0595921"
"Hepatitis",3,2,5,5.23980536602035e-09,NA,"C0019158"
"Primary_carcinoma_of_the_liver_cells",4,1,5,0,NA,"C0019204"
"Respiration_Disorders",1,4,5,8.81412105592667e-08,NA,"C0035204"
"Respiratory_Tract_Infections",1,4,5,0,NA,"C0035243"
"Septic_Shock",3,2,5,1.24445377442983e-08,NA,"C0036983"
"Human_cells",5,0,5,0,NA,"C0427861"
"Renal_fibrosis",3,2,5,1.33328955506064e-07,NA,"C0151650"
"X_Injury_of_blood_vessel_s_of_unspecified_body_region",3,2,5,1.6068903684123e-06,NA,"C0178324"
"Antibiotics",0,5,5,0,NA,"C0003232"
"Aortic_Valve_Insufficiency",3,2,5,7.92158230536602e-07,NA,"C0003504"
"Arachidonic_Acid",0,5,5,0,NA,"C0003695"
"Peripheral_Vascular_Diseases",2,3,5,6.95629333075116e-08,NA,"C0085096"
"Cardiovascular_morbidity",5,0,5,0,NA,"C1301700"
"Secondary_hypertension_NOS",5,0,5,0,NA,"C0155616"
"Bacterial_Infections",0,5,5,0,NA,"C0004623"
"Bradykinin",0,5,5,0,NA,"C0006100"
"Diabetic_Ketoacidosis",3,2,5,3.62721009389167e-08,NA,"C0011880"
"Multiple_Organ_Failure",4,1,5,2.92104092243663e-09,NA,"C0026766"
"Thrombophilia",3,2,5,3.68885086255595e-05,NA,"C0398623"
"follow_up",5,0,5,0,NA,"C1522577"
"Histopathology",4,1,5,1.31266924171686e-08,NA,"C0677043"
"Carrageenan",0,5,5,0,NA,"C0007289"
"Cerebral_Edema",3,2,5,4.64749149678234e-05,NA,"C0006114"
"Chemicals",0,5,5,0,NA,"C0220806"
"Chest_Pain",5,0,5,0,NA,"C0008031"
"Chronic_liver_disease_NOS",3,2,5,1.37635232329862e-07,NA,"C0341439"
"Chronic_pain",4,1,5,5.15296529148313e-07,NA,"C0150055"
"Wound_Healing",5,0,5,0,NA,"C0043240"
"Congenital_heart_disease",2,3,5,1.51518205830168e-07,NA,"C0152021"
"Contrast_Media",0,5,5,0,NA,"C0009924"
"Renal_glomerular_disease",1,4,5,3.65349916696004e-07,NA,"C0268731"
"Diabetes_Gestational",3,2,5,6.02032222280935e-07,NA,"C0085207"
"Diethylnitrosamine",0,5,5,0,NA,"C0012200"
"Immune_System_Diseases",4,1,5,6.16089891230221e-05,NA,"C0021053"
"Parkinsonian_Disorders",4,1,5,0,NA,"C0242422"
"Psoriasis",4,1,5,7.6129541247687e-06,NA,"C0033860"
"Tuberculosis",0,5,5,0,NA,"C0041296"
"Vomiting",3,2,5,1.75350108022989e-05,NA,"C0042963"
"Dissection_of_aorta",2,3,5,3.31205114170412e-05,NA,"C0340643"
"Hypokalemia",4,1,5,1.36208508089536e-07,NA,"C0020621"
"Hypotension",5,0,5,0,NA,"C0020649"
"Fatty_Acids_Nonesterified",0,5,5,0,NA,"C0015688"
"Fibromuscular_Dysplasia",0,5,5,0,NA,"C0016052"
"Growth_Factor",0,5,5,0,NA,"C0018284"
"Helicobacter_pylori",0,5,5,0,NA,"C0079488"
"Hepatitis_C_virus",0,5,5,0,NA,"C0220847"
"Histamine",0,5,5,0,NA,"C0019588"
"Hormones",0,5,5,0,NA,"C0019932"
"Hyperparathyroidism",4,1,5,9.84065700370948e-05,NA,"C0020502"
"Hyperthyroidism",2,3,5,1.00627879214906e-06,NA,"C0020550"
"Blood_flow",5,0,5,0,NA,"C0232338"
"Implantation_procedure",0,5,5,0,NA,"C0021107"
"Ulcerative_Colitis",3,2,5,7.63719658682291e-06,NA,"C0009324"
"Inflammation_Mediators",0,5,5,0,NA,"C0243042"
"Infusion_procedures",0,5,5,0,NA,"C0574032"
"Instability",3,2,5,2.85070004867727e-07,NA,"C1444783"
"Interleukin_1_beta",0,5,5,0,NA,"C0021753"
"Ketamine",0,5,5,0,NA,"C0022614"
"MAPT_protein_human_MAPT",0,5,5,0,NA,"C1454489"
"Materials",0,5,5,0,NA,"C0520510"
"Nanotubes_Carbon",0,5,5,0,NA,"C1138408"
"Nephrectomy",0,5,5,0,NA,"C0027695"
"Overweight",1,4,5,0,NA,"C0497406"
"Oxidopamine",0,5,5,0,NA,"C0085196"
"Rotenone",0,5,5,0,NA,"C0035871"
"Single_Nucleotide_Polymorphism",0,5,5,0,NA,"C0752046"
"Solutions",0,5,5,0,NA,"C0037633"
"Sugars",0,5,5,0,NA,"C0242209"
"Tacrolimus",0,5,5,0,NA,"C0085149"
"Transforming_Growth_Factor_beta",0,5,5,0,NA,"C0040690"
"Ureteral_obstruction",0,5,5,0,NA,"C0041956"
"sevoflurane",0,5,5,0,NA,"C0074414"
"1_Methyl_4_phenylpyridinium",0,4,4,0,NA,"C0000098"
"Death_finding",3,1,4,4.69022807906707e-08,NA,"C1306577"
"Abscess",3,1,4,5.07925867533433e-09,NA,"C0000833"
"Acrylamide",0,4,4,0,NA,"C0050587"
"Acute_Lung_Injury",2,2,4,2.31876444358372e-08,NA,"C0242488"
"Acute_heart_failure",1,3,4,5.38938062734724e-07,NA,"C0264714"
"Gastric_ulcer",4,0,4,0,NA,"C0038358"
"Ocular_Hypertension",4,0,4,0,NA,"C0028840"
"Adrenal_Cortical_Adenoma",2,2,4,1.27532044397105e-07,NA,"C0206667"
"Adrenal_adenoma",2,2,4,1.27532044397105e-07,NA,"C0262371"
"Adrenergic_Receptor",0,4,4,0,NA,"C0034783"
"Age_related_macular_degeneration",3,1,4,8.65582359402695e-07,NA,"C0242383"
"Encephalitis",3,1,4,1.98345467003929e-08,NA,"C0014038"
"Malaria",0,4,4,0,NA,"C0024530"
"Poisoning",2,2,4,3.87040431708182e-07,NA,"C0032343"
"Alcoholic_Liver_Diseases",2,2,4,2.45376543919281e-06,NA,"C0023896"
"Hypernatremia",3,1,4,0,NA,"C0020488"
"Allergens",0,4,4,0,NA,"C0002092"
"Alloxan",0,4,4,0,NA,"C0002151"
"Neurofibrillary_Tangles",3,1,4,0,NA,"C0085400"
"Ammonia",0,4,4,0,NA,"C0002607"
"Cognition_Disorders",4,0,4,0,NA,"C0009241"
"Neuroinflammation",4,0,4,0,NA,"C5394393"
"Amyloid_beta_Protein_Precursor",0,4,4,0,NA,"C0085151"
"Familial_Alzheimer_s_disease",4,0,4,0,NA,"C0276496"
"Cell_Growth",4,0,4,0,NA,"C0007595"
"Polycystic_Ovary_Syndrome",4,0,4,0,NA,"C0032460"
"Anesthetics",0,4,4,0,NA,"C0002932"
"Aortic_Aneurysm_Abdominal",3,1,4,6.3239030279556e-09,NA,"C0162871"
"Encounter_due_to_vagabond_status",3,1,4,0,NA,"C0687129"
"cell_motility",4,0,4,0,NA,"C0007608"
"release_of_sequestered_calcium_ion_into_cytoplasm",4,0,4,0,NA,"C0596233"
"Angiotensins",0,4,4,0,NA,"C0003018"
"Anorexia",3,1,4,5.111651405694e-07,NA,"C0003123"
"Anti_Inflammatory_Agents_Non_Steroidal",0,4,4,0,NA,"C0003211"
"Antipsychotic_Agents",0,4,4,0,NA,"C0040615"
"Aortic_Valve_Stenosis",0,4,4,0,NA,"C0003507"
"Asthenia",3,1,4,1.91852742893137e-09,NA,"C0004093"
"Stroke_Acute",2,2,4,1.39125866615023e-08,NA,"C0751956"
"Autonomic_Dysreflexia",3,1,4,9.81545600165918e-06,NA,"C0238015"
"Bile_Acids",0,4,4,0,NA,"C0005390"
"Body_Weight_decreased",4,0,4,0,NA,"C0043096"
"Bone_Diseases",4,0,4,0,NA,"C0005940"
"Cerebral_Palsy",3,1,4,4.6353632752369e-07,NA,"C0007789"
"Cardiac_complication",3,1,4,0,NA,"C0161816"
"Decreased_Immunologic_Activity_PE",3,1,4,0.000152193129168392,NA,"C1373218"
"Dyspnea",3,1,4,0,NA,"C0013404"
"Intervention_regimes",4,0,4,0,NA,"C1273869"
"Renal_tubular_disorder",4,0,4,0,NA,"C0151747"
"Toxic_nephropathy",3,1,4,2.60860999903168e-08,NA,"C0595916"
"Calcineurin_inhibitor",0,4,4,0,NA,"C1562036"
"Vascular_calcification",2,2,4,5.24482433667746e-08,NA,"C0342649"
"Carbon_Tetrachloride",0,4,4,0,NA,"C0007022"
"Shock_Cardiogenic",3,1,4,0,NA,"C0036980"
"Cerebral_Vasospasm",1,3,4,6.19742496739649e-08,NA,"C0265110"
"Chagas_Disease",0,4,4,0,NA,"C0041234"
"Chemokine_C_C_Motif_Ligand_4_CCL4",0,4,4,0,NA,"C0209338"
"Chronic_Stress",0,4,4,0,NA,"C1510527"
"Convulsions",3,1,4,1.69135057779563e-08,NA,"C0009951"
"Compartment_syndromes",3,1,4,1.05104520284784e-05,NA,"C0009492"
"Deep_Vein_Thrombosis",1,3,4,5.35099486980858e-09,NA,"C0149871"
"Jaundice_Obstructive",4,0,4,0,NA,"C0022354"
"Hernia",3,1,4,3.9217942446307e-08,NA,"C0019270"
"Infertility_Male",4,0,4,0,NA,"C0021364"
"Coronary_Stenosis",1,3,4,1.9532842795308e-06,NA,"C0242231"
"Graft_vs_Host_Disease",3,1,4,9.87439943136287e-09,NA,"C0018133"
"hearing_impairment",4,0,4,0,NA,"C1384666"
"Sensorineural_Hearing_Loss",4,0,4,0,NA,"C0018784"
"Spinal_Muscular_Atrophy",2,2,4,6.06605599997189e-08,NA,"C0026847"
"Degenerative_disorder",2,2,4,5.2235071910941e-07,NA,"C1285162"
"Dextran_Sulfate_Sodium",0,4,4,0,NA,"C0079225"
"Diabetic_Neuropathies",4,0,4,0,NA,"C0011882"
"Diabetic_Cardiomyopathies",2,2,4,2.72666551373178e-07,NA,"C0853897"
"Diastolic_dysfunction",2,2,4,9.75151956961988e-07,NA,"C0520863"
"Fatty_degeneration",4,0,4,0,NA,"C0152254"
"Fatty_deposition",3,1,4,0,NA,"C0333574"
"Glucose_Intolerance",4,0,4,0,NA,"C0017732"
"Growth_retardation",4,0,4,0,NA,"C0151686"
"Hyperphagia",3,1,4,0,NA,"C0020505"
"Iron_deficiency",3,1,4,2.09011459212609e-06,NA,"C0240066"
"Nonalcoholic_Steatohepatitis",3,1,4,8.09406228345392e-06,NA,"C3241937"
"Dinoprostone",0,4,4,0,NA,"C0012472"
"Fetal_Death",1,3,4,2.85930758335421e-08,NA,"C0015927"
"Hypertension_Portal",3,1,4,2.48439047526827e-09,NA,"C0020541"
"Immune_response",4,0,4,0,NA,"C0020964"
"Influenza",0,4,4,0,NA,"C0021400"
"Liver_Failure",3,1,4,1.49289282195666e-08,NA,"C0085605"
"Liver_Failure_Acute",2,2,4,6.79292583586231e-08,NA,"C0162557"
"Pancreatitis_Chronic",1,3,4,1.13012162286092e-07,NA,"C0149521"
"Pulmonary_arterial_hypertension",2,2,4,1.16200489291272e-07,NA,"C1619734"
"Uveitis",4,0,4,0,NA,"C0042164"
"Disorder_of_artery",1,3,4,1.14171349915391e-06,NA,"C0264951"
"Ecstasy_drug",0,4,4,0,NA,"C0115471"
"Endopeptidases",0,4,4,0,NA,"C0030946"
"Endothelin",0,4,4,0,NA,"C0079284"
"Endotoxemia",2,2,4,0,NA,"C0376618"
"Tumorigenesis",3,1,4,0,NA,"C1326912"
"Dependence",4,0,4,0,NA,"C0439857"
"Massive_hemorrhage",3,1,4,8.86900685794694e-09,NA,"C0333279"
"FRAGMENTS",0,4,4,0,NA,"C0486805"
"Fatty_Acids",0,4,4,0,NA,"C0015684"
"Systemic_Scleroderma",2,2,4,3.98187463341383e-08,NA,"C0036421"
"Focal_segmental_glomerulosclerosis",1,3,4,1.08114962626577e-07,NA,"C0403425"
"Food",0,4,4,0,NA,"C0016452"
"Huntington_Disease",3,1,4,2.64974305309188e-08,NA,"C0020179"
"Immunity",3,1,4,0,NA,"C0020964"
"HTT",0,4,4,0,NA,"3064"
"Obstetric_Labor_Premature",2,2,4,1.16708307083122e-05,NA,"C0022876"
"Periodontal_Diseases",3,1,4,0,NA,"C0031090"
"Isoflurane",0,4,4,0,NA,"C0022180"
"Kidney_Transplantation",0,4,4,0,NA,"C0022671"
"Lung_Diseases_Interstitial",1,3,4,9.64117847595336e-08,NA,"C0206062"
"Manganese",0,4,4,0,NA,"C0024706"
"Mercuric_chloride",0,4,4,0,NA,"C0025417"
"Methotrexate",0,4,4,0,NA,"C0025677"
"Mixture",0,4,4,0,NA,"C0439962"
"Monocrotaline",0,4,4,0,NA,"C0085241"
"Mucocutaneous_Lymph_Node_Syndrome",0,4,4,0,NA,"C0026691"
"Multiple_Myeloma",0,4,4,0,NA,"C0026764"
"Nephronophthisis",1,3,4,1.08114962626577e-07,NA,"C0687120"
"Polycystic_Kidney_Autosomal_Dominant",1,3,4,1.08114962626577e-07,NA,"C0085413"
"Polycystic_Kidney_Diseases",1,3,4,1.08114962626577e-07,NA,"C0022680"
"N_Methylaspartate",0,4,4,0,NA,"C0079883"
"melanoma",2,2,4,0,NA,"C0025202"
"Nutrients",0,4,4,0,NA,"C0678695"
"Ovalbumin",0,4,4,0,NA,"C0029923"
"Palmitates",0,4,4,0,NA,"C0030233"
"Particulate_Matter",0,4,4,0,NA,"C1720884"
"Chemotaxis",4,0,4,0,NA,"C0008018"
"Pesticides",0,4,4,0,NA,"C0031253"
"ROS1_wt_Allele_ROS1",0,4,4,0,NA,"C1709820"
"Saline",0,4,4,0,NA,"C0036082"
"Smoke",0,4,4,0,NA,"C0037366"
"Sodium",0,4,4,0,NA,"C0037473"
"TGFB1_protein_human_TGFB1",0,4,4,0,NA,"C0080222"
"Signal_Pathways",4,0,4,0,NA,"C0037080"
"Takayasu_s_Arteritis",0,4,4,0,NA,"C0039263"
"VEGF_protein_human_VEGFA",0,4,4,0,NA,"C1171892"
"Vascular_occlusion",0,4,4,0,NA,"C1096458"
"adenine",0,4,4,0,NA,"C0001407"
"arginine_methyl_ester",0,4,4,0,NA,"C0052335"
"glucose_high",0,4,4,0,NA,"C0860803"
"Paralysed",3,0,3,0,NA,"C0522224"
"ATM_gene_ATM",0,3,3,0,NA,"C0919524"
"Acetaminophen",0,3,3,0,NA,"C0000970"
"Acetate",0,3,3,0,NA,"C0000975"
"Acidosis",2,1,3,1.98751238021462e-09,NA,"C0001122"
"Acne",1,2,3,5.13921013713994e-06,NA,"C0702166"
"Acquired_Immunodeficiency_Syndrome",1,2,3,9.83524889731239e-08,NA,"C0001175"
"Acrolein",0,3,3,0,NA,"C0001204"
"Lesion_of_stomach",3,0,3,0,NA,"C0679408"
"Adrenal_Gland_Neoplasms",1,2,3,0,NA,"C0001624"
"Adrenal_gland_hypofunction",2,1,3,1.60767668088471e-07,NA,"C0001623"
"Adrenocortical_carcinoma",1,2,3,2.31876444358372e-08,NA,"C0206686"
"Aflatoxin_B1",0,3,3,0,NA,"C0085180"
"Allergic_Reaction",2,1,3,8.13532609867508e-09,NA,"C1527304"
"Anaphylaxis",2,1,3,8.13532609867508e-09,NA,"C0002792"
"Burn_injury",0,3,3,0,NA,"C0006434"
"Lysis",2,1,3,1.15938222179186e-08,NA,"C0024348"
"Meningitis",2,1,3,5.85053609747338e-08,NA,"C0025289"
"Air_Pollution",0,3,3,0,NA,"C0001873"
"Alport_s_syndrome",1,2,3,2.71620545247588e-08,NA,"C1567741"
"Osteomalacia",3,0,3,0,NA,"C0029442"
"Amyloid_deposition",1,2,3,6.56659280042711e-05,NA,"C0011560"
"Evaluation_procedure",3,0,3,0,NA,"C1261322"
"Senile_Plaques",3,0,3,0,NA,"C0333463"
"Amylin",0,3,3,0,NA,"C0063684"
"Analgesics",0,3,3,0,NA,"C0002771"
"Benign_prostatic_hypertrophy",3,0,3,0,NA,"C0005001"
"Malignant_neoplasm_of_prostate",2,1,3,5.22533567361591e-06,NA,"C0376358"
"Aneurysm_Dissecting",0,3,3,0,NA,"C0002949"
"Angiogenesis_Inhibitors",0,3,3,0,NA,"C0596087"
"Blood_Pressure",3,0,3,0,NA,"C0005823"
"Cardiac_fibrosis",2,1,3,0,NA,"C1397307"
"Antineoplastic_Agents",0,3,3,0,NA,"C0003392"
"Pancreatitis_Acute",2,1,3,2.31876444358372e-08,NA,"C0001339"
"Arsenic",0,3,3,0,NA,"C0003818"
"Ataxia",2,1,3,3.90603980914599e-09,NA,"C0004134"
"Autoantibodies",0,3,3,0,NA,"C0004358"
"BARRIER",0,3,3,0,NA,"C1706912"
"Biological_Response_Modifiers",0,3,3,0,NA,"C0005525"
"Bupivacaine",0,3,3,0,NA,"C0006400"
"CA2",0,3,3,0,NA,"760"
"CADASIL",2,1,3,0,NA,"C0751587"
"Coronavirus_Infections",1,2,3,0,NA,"C0206750"
"Illness_finding",2,1,3,1.26478060559112e-09,NA,"C0221423"
"Sequela_of_disorder",1,2,3,8.81412105592667e-08,NA,"C0543419"
"Severe_Acute_Respiratory_Syndrome",1,2,3,0,NA,"C1175175"
"CRYGC_CRYGEP",0,3,3,0,NA,"1420"
"Teratogenesis",2,1,3,5.21721999806337e-08,NA,"C0232910"
"Calcitonin_Gene_Related_Peptide",0,3,3,0,NA,"C0006669"
"Contracture",3,0,3,0,NA,"C0009917"
"Hyperparathyroidism_Secondary",3,0,3,0,NA,"C0020503"
"Carbohydrates",0,3,3,0,NA,"C0007004"
"Carcinoma",1,2,3,0,NA,"C0007097"
"Cardiac_Death",2,1,3,0,NA,"C0376297"
"Cardiopulmonary_Bypass",0,3,3,0,NA,"C0007202"
"myocardium_injury",2,1,3,7.28012632595661e-08,NA,"C0746730"
"Cerebral_Amyloid_Angiopathy",0,3,3,0,NA,"C0085220"
"Cerebrospinal_Fluid",0,3,3,0,NA,"C0007806"
"Hemiparesis",3,0,3,0,NA,"C0018989"
"Movement",3,0,3,0,NA,"C0026649"
"Recovery",3,0,3,0,NA,"C0237820"
"Chronic_infectious_disease",0,3,3,0,NA,"C0151317"
"Chronic_lung_disease",1,2,3,1.08241996767615e-05,NA,"C0746102"
"Cirrhosis",2,1,3,1.98751238021462e-09,NA,"C1623038"
"Clonidine",0,3,3,0,NA,"C0009014"
"Renal_ischaemia",1,2,3,0,NA,"C0920646"
"Complement_System_Proteins",0,3,3,0,NA,"C0009498"
"Paraplegia",3,0,3,0,NA,"C0030486"
"Mitochondrial_Diseases",3,0,3,0,NA,"C0751651"
"Constituents",0,3,3,0,NA,"C0729650"
"Right_ventricular_failure",2,1,3,1.15938222179186e-08,NA,"C0235527"
"Corticotropin_POMC",0,3,3,0,NA,"C0001655"
"Cystic_Fibrosis",2,1,3,1.91852742893137e-09,NA,"C0010674"
"Movement_Disorders",3,0,3,0,NA,"C0026650"
"Dermatitis_Atopic",2,1,3,0,NA,"C0011615"
"Deterioration",0,3,3,0,NA,"C0868945"
"Cleft_Palate",3,0,3,0,NA,"C0008925"
"Neuropathic_pain",3,0,3,0,NA,"C0423716"
"Retinal_damage",3,0,3,0,NA,"C0235272"
"Animal_Disease_Models",3,0,3,0,NA,"C0012644"
"Dysbiosis",3,0,3,0,NA,"C3658208"
"Fatty_Liver_Disease",3,0,3,0,NA,"C4529962"
"Iron_deficiency_anemia",3,0,3,0,NA,"C0162316"
"insulin_sensitivity",2,1,3,0,NA,"C0920563"
"Dipyridamole",0,3,3,0,NA,"C0012582"
"Disease_Progression",2,1,3,3.98755417112533e-07,NA,"C0242656"
"Disseminated_Intravascular_Coagulation",1,2,3,1.03410871419045e-07,NA,"C0012739"
"Hyperparathyroidism_Primary",2,1,3,5.73145988869357e-06,NA,"C0221002"
"Neutropenia",1,2,3,1.35987689172579e-08,NA,"C0027947"
"Pancytopenia",2,1,3,5.57973444511619e-09,NA,"C0030312"
"Syncope",2,1,3,3.74053892481696e-07,NA,"C0039070"
"Urinary_tract_obstruction",0,3,3,0,NA,"C0178879"
"Wasting",2,1,3,3.18757053798569e-07,NA,"C0235394"
"comatose",2,1,3,2.19051043956132e-08,NA,"C0009421"
"Dobutamine",0,3,3,0,NA,"C0012963"
"Dyskinetic_syndrome",3,0,3,0,NA,"C0013384"
"Down_Syndrome",2,1,3,6.21892623769153e-05,NA,"C0013080"
"Dust",0,3,3,0,NA,"C0013330"
"Embolism_Paradoxical",0,3,3,0,NA,"C0238096"
"Endocrine_System_Diseases",0,3,3,0,NA,"C0014130"
"Abnormal_shape",3,0,3,0,NA,"C0332482"
"Platelet_aggregation",3,0,3,0,NA,"C0032176"
"Pulmonary_Thromboembolisms",1,2,3,7.53598444164709e-08,NA,"C0524702"
"Ventricular_Premature_Complexes",2,1,3,8.61660936196228e-07,NA,"C0151636"
"Escherichia_coli",0,3,3,0,NA,"C0014834"
"Estradiol",0,3,3,0,NA,"C0014912"
"Hyperprolactinemia",3,0,3,0,NA,"C0020514"
"Hypertriglyceridemia",3,0,3,0,NA,"C0020557"
"Sedation",2,1,3,4.63752888716744e-08,NA,"C0600097"
"Postoperative_Complications",2,1,3,7.21274654110143e-09,NA,"C0032787"
"Shock_Hemorrhagic",2,1,3,6.62504126738205e-09,NA,"C0036982"
"Febrile_neutropenia",1,2,3,1.35987689172579e-08,NA,"C0746883"
"Fluid_overload",1,2,3,3.10946311884577e-05,NA,"C0546817"
"Fluorides",0,3,3,0,NA,"C0016327"
"Formaldehyde",0,3,3,0,NA,"C0016564"
"Fracture",2,1,3,8.69536666343895e-09,NA,"C0016658"
"Freund_s_Adjuvant",0,3,3,0,NA,"C0016712"
"Lymphedema",2,1,3,6.70426957995116e-07,NA,"C0024236"
"Muscular_Dystrophy_Duchenne",2,1,3,8.24243045688697e-09,NA,"C0013264"
"Retinitis_Pigmentosa",1,2,3,6.06605599997189e-08,NA,"C0035334"
"Glutamates",0,3,3,0,NA,"C0017789"
"Diabetic_complications",3,0,3,0,NA,"C0271672"
"HIV_Infections",0,3,3,0,NA,"C0019693"
"Halothane",0,3,3,0,NA,"C0018549"
"Helicobacter_Infections",0,3,3,0,NA,"C0079487"
"Heme",0,3,3,0,NA,"C0018966"
"Nephrosclerosis",1,2,3,0,NA,"C0027719"
"IGA_Glomerulonephritis",0,3,3,0,NA,"C0017661"
"Immunosuppressive_Agents",0,3,3,0,NA,"C0021081"
"Implants",0,3,3,0,NA,"C0021102"
"Indomethacin",0,3,3,0,NA,"C0021246"
"destruction_bone",3,0,3,0,NA,"C0238790"
"Status_Epilepticus",1,2,3,1.17903276792392e-09,NA,"C0038220"
"Sepsis_Syndrome",2,1,3,2.92104092243663e-09,NA,"C0242966"
"Lipodystrophy",2,1,3,6.29378920401295e-08,NA,"C0023787"
"Weight_Gain",2,1,3,0,NA,"C0043094"
"Interleukin_2",0,3,3,0,NA,"C0021756"
"Interleukin_6",0,3,3,0,NA,"C0021760"
"Ferroptosis",3,0,3,0,NA,"C4236737"
"Kainate",0,3,3,0,NA,"C0205812"
"Graft_loss",3,0,3,0,NA,"C0877042"
"Malignant_hyperpyrexia_due_to_anesthesia",2,1,3,1.91852742893137e-09,NA,"C0024591"
"Left_ventricular_systolic_dysfunction",0,3,3,0,NA,"C1277187"
"Leukoencephalopathy",2,1,3,1.97090730883291e-07,NA,"C0270612"
"Leukopenia",2,1,3,4.92598762177594e-09,NA,"C0023530"
"Licorice",0,3,3,0,NA,"C0086555"
"Ligature",0,3,3,0,NA,"C0023692"
"Lipoproteins",0,3,3,0,NA,"C0023820"
"Liquid_substance",0,3,3,0,NA,"C0302908"
"Lupus_Nephritis",0,3,3,0,NA,"C0024143"
"Tauopathies",3,0,3,0,NA,"C0949664"
"MK_801",0,3,3,0,NA,"C0813872"
"Rickets",3,0,3,0,NA,"C0035579"
"Mechanical_ventilation",0,3,3,0,NA,"C0199470"
"Microplastics",0,3,3,0,NA,"C5197738"
"Hypopituitarism",3,0,3,0,NA,"C0020635"
"Primary_disease",1,2,3,3.66999940826872e-08,NA,"C0277554"
"Sickle_Cell_Anemia",1,2,3,1.91852742893137e-09,NA,"C0002895"
"Myocardial_rupture",2,1,3,1.65626031684551e-09,NA,"C0018813"
"NF_kappa_B",0,3,3,0,NA,"C0079904"
"NG_Nitroarginine_Methyl_Ester",0,3,3,0,NA,"C0083536"
"Facial_paralysis",3,0,3,0,NA,"C0015469"
"Tremor",2,1,3,9.93756190107308e-09,NA,"C0040822"
"Nitroglycerin",0,3,3,0,NA,"C0017887"
"Oxidation",0,3,3,0,NA,"C0030011"
"Ozone",0,3,3,0,NA,"C0030106"
"PLAT_gene_PLAT",0,3,3,0,NA,"C1367601"
"Palmitic_Acid",0,3,3,0,NA,"C0030234"
"Pathologic_Processes",0,3,3,0,NA,"C0030660"
"Bradycardia",3,0,3,0,NA,"C0428977"
"Phenytoin",0,3,3,0,NA,"C0031507"
"Pollutant",0,3,3,0,NA,"C0599786"
"Polycyclic_Hydrocarbons_Aromatic",0,3,3,0,NA,"C0032458"
"Pseudomonas_aeruginosa",0,3,3,0,NA,"C0033809"
"Pyrenes",0,3,3,0,NA,"C0034243"
"Quinolinic_Acid",0,3,3,0,NA,"C0072879"
"Rheumatic_Heart_Disease",0,3,3,0,NA,"C0035439"
"Rupture",0,3,3,0,NA,"C3203359"
"Silicon_Dioxide",0,3,3,0,NA,"C0037098"
"Sodium_Nitroprusside",0,3,3,0,NA,"C0037533"
"Staphylococcus_aureus",0,3,3,0,NA,"C0038172"
"Stents",0,3,3,0,NA,"C0038257"
"Sucrose",0,3,3,0,NA,"C0038636"
"TLR4_protein_human_TLR4",0,3,3,0,NA,"C1321919"
"Signal_Transduction_Pathways",3,0,3,0,NA,"C0086982"
"TP53_gene_TP53",0,3,3,0,NA,"C0079419"
"Thioacetamide",0,3,3,0,NA,"C0039872"
"Tourniquets",0,3,3,0,NA,"C0040519"
"Tumor_Necrosis_Factor_alpha_TNF",0,3,3,0,NA,"C1456820"
"Urethane",0,3,3,0,NA,"C0041964"
"Vaccination",0,3,3,0,NA,"C0042196"
"Valproic_Acid",0,3,3,0,NA,"C0042291"
"Vas_Occlusion",0,3,3,0,NA,"C0042362"
"Vertebral_Artery_Dissection",0,3,3,0,NA,"C0338586"
"Zymosan",0,3,3,0,NA,"C0043552"
"bisphenol_A",0,3,3,0,NA,"C0053800"
"chemokine",0,3,3,0,NA,"C0282554"
"deoxynivalenol",0,3,3,0,NA,"C0057445"
"olanzapine",0,3,3,0,NA,"C0171023"
"polyglutamine",0,3,3,0,NA,"C0384782"
"21_hydroxylase_deficiency",1,1,2,7.30436666731489e-07,NA,"C0852654"
"3_nitropropionic_acid",0,2,2,0,NA,"C0047640"
"9_10_Dimethyl_1_2_benzanthracene",0,2,2,0,NA,"C0000677"
"Ataxia_Telangiectasia",2,0,2,0,NA,"C0004135"
"ATPase_Aminophospholipid_Transporter_Like_Class_I_Type_8A_Member_2_ATP8A2",0,2,2,0,NA,"C1366832"
"Acetic_Acid",0,2,2,0,NA,"C0000983"
"Aconitine",0,2,2,0,NA,"C0001159"
"Acrylonitrile",0,2,2,0,NA,"C0001223"
"Acute_hemorrhage",1,1,2,1.65626031684551e-09,NA,"C0333276"
"Acute_inflammation",1,1,2,0,NA,"C0333361"
